Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n03393912\ILSVRC2012_val_00036706.JPEG,n03992509,n03992509,n03992509,n03992509,n03992509,n02172182,n07715103,n03393912
n04118776\ILSVRC2012_val_00010180.JPEG,n04443257,n04443257,n04443257,n07693725,n04443257,n04443257,n13040303,n04118776
n03761084\ILSVRC2012_val_00036104.JPEG,n01943899,n01943899,n01943899,n01943899,n01943899,n04238763,n13040303,n03761084
n02488291\ILSVRC2012_val_00014947.JPEG,n02111889,n04509417,n03481172,n03481172,n03481172,n03777568,n02701002,n02488291
n03838899\ILSVRC2012_val_00024492.JPEG,n03457902,n03457902,n03457902,n03457902,n03457902,n03457902,n02102040,n03838899
n02860847\ILSVRC2012_val_00036614.JPEG,n02526121,n02526121,n02526121,n02526121,n02526121,n02526121,n02704792,n02860847
n04487081\ILSVRC2012_val_00038949.JPEG,n03764736,n03764736,n03764736,n03764736,n03764736,n03764736,n13040303,n04487081
n04243546\ILSVRC2012_val_00027578.JPEG,n13044778,n13044778,n01734418,n01734418,n13044778,n13044778,n04041544,n04243546
n13133613\ILSVRC2012_val_00000989.JPEG,n07831146,n07831146,n07831146,n07831146,n07831146,n07831146,n02708093,n13133613
n03781244\ILSVRC2012_val_00042508.JPEG,n04200800,n04200800,n04200800,n01807496,n02974003,n04442312,n02441942,n03781244
n02791124\ILSVRC2012_val_00011110.JPEG,n02006656,n02006656,n02006656,n02006656,n02006656,n02007558,n04049303,n02791124
n03733131\ILSVRC2012_val_00030564.JPEG,n02281787,n02281787,n02281787,n02281787,n02281787,n02281787,n04041544,n03733131
n13054560\ILSVRC2012_val_00045498.JPEG,n02107142,n03935335,n11879895,n04325704,n03935335,n03935335,n02101556,n13054560
n03791053\ILSVRC2012_val_00009285.JPEG,n03400231,n03400231,n03400231,n03400231,n03400231,n04517823,n03201208,n03791053
n04332243\ILSVRC2012_val_00001863.JPEG,n03775546,n03775546,n03775546,n03775546,n03775546,n01632458,n01847000,n04332243
n02114548\ILSVRC2012_val_00030270.JPEG,n03770679,n03770679,n03770679,n03770679,n03770679,n03670208,n04070727,n02114548
n03775546\ILSVRC2012_val_00013468.JPEG,n03297495,n03297495,n03297495,n03297495,n03297495,n03297495,n15075141,n03775546
