Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n01978455\ILSVRC2012_val_00033808.JPEG,n02093991,n02397096,n02397096,n11879895,n02397096,n02106030,n04070727,n01978455
n02321529\ILSVRC2012_val_00039967.JPEG,n11879895,n11879895,n11879895,n11879895,n11879895,n02391049,n02110063,n02321529
n03028079\ILSVRC2012_val_00048382.JPEG,n01632777,n01632777,n01632777,n01632777,n01632777,n07697537,n02730930,n03028079
n02364673\ILSVRC2012_val_00048259.JPEG,n03721384,n03721384,n03721384,n03721384,n03721384,n03721384,n04041544,n02364673
n02783161\ILSVRC2012_val_00005048.JPEG,n01855032,n04127249,n01855032,n01855032,n01855032,n01855032,n02011460,n02783161
n03014705\ILSVRC2012_val_00003447.JPEG,n02493509,n04398044,n01756291,n04398044,n03787032,n02091467,n02701002,n03014705
n07717556\ILSVRC2012_val_00001507.JPEG,n04204238,n04591157,n04235860,n04204238,n04235860,n04404412,n01744401,n07717556
n02526121\ILSVRC2012_val_00012727.JPEG,n02107142,n01558993,n01558993,n01558993,n01558993,n02097298,n02102040,n02526121
n04009552\ILSVRC2012_val_00038603.JPEG,n02536864,n02536864,n07734744,n04120489,n07734744,n02231487,n01744401,n04009552
n01580077\ILSVRC2012_val_00041308.JPEG,n02089867,n02089867,n02089867,n02089867,n02089867,n02089867,n04070727,n01580077
n02130308\ILSVRC2012_val_00037412.JPEG,n03599486,n03599486,n03599486,n03599486,n03599486,n03599486,n04070727,n02130308
n04192698\ILSVRC2012_val_00024024.JPEG,n03983396,n03983396,n03983396,n03983396,n03983396,n01669191,n04070727,n04192698
n04532670\ILSVRC2012_val_00037270.JPEG,n15075141,n15075141,n15075141,n15075141,n15075141,n15075141,n04081281,n04532670
n03495258\ILSVRC2012_val_00003669.JPEG,n03814639,n02002556,n03814639,n03814639,n03814639,n03602883,n07614500,n03495258
n03141823\ILSVRC2012_val_00031076.JPEG,n04548280,n04548280,n04548280,n04548280,n04548280,n04548280,n03000134,n03141823
n01847000\ILSVRC2012_val_00030448.JPEG,n02088094,n02088094,n02088094,n02088094,n02088094,n02088094,n13040303,n01847000
n04258138\ILSVRC2012_val_00000897.JPEG,n02514041,n02514041,n02514041,n03180011,n03891332,n04201297,n02708093,n04258138
n02089078\ILSVRC2012_val_00005397.JPEG,n02492660,n02492660,n02492660,n02492660,n02492660,n04273569,n04070727,n02089078
n04344873\ILSVRC2012_val_00019206.JPEG,n04133789,n04133789,n04201297,n04201297,n04201297,n04201297,n03100240,n04344873
n04005630\ILSVRC2012_val_00007463.JPEG,n03814639,n04458633,n07718747,n07718747,n04458633,n03814639,n04371430,n04005630
n03775546\ILSVRC2012_val_00032236.JPEG,n03775546,n03775546,n04525038,n04548362,n04357314,n02786058,n03100240,n03775546
n01498041\ILSVRC2012_val_00043323.JPEG,n02509815,n02509815,n02509815,n02509815,n02509815,n02509815,n04070727,n01498041
n02988304\ILSVRC2012_val_00012676.JPEG,n03814906,n03814906,n01737021,n03814906,n03814906,n03085013,n13040303,n02988304
n04355933\ILSVRC2012_val_00031505.JPEG,n03857828,n03857828,n03857828,n02056570,n02056570,n03857828,n02011460,n04355933
n03259280\ILSVRC2012_val_00008696.JPEG,n03126707,n04275548,n03126707,n03126707,n03126707,n03126707,n04070727,n03259280
n04209133\ILSVRC2012_val_00029797.JPEG,n04350905,n04350905,n04350905,n02704792,n04350905,n03791053,n13040303,n04209133
n01665541\ILSVRC2012_val_00005919.JPEG,n02138441,n02138441,n02138441,n02086910,n02138441,n02138441,n02110063,n01665541
n01978287\ILSVRC2012_val_00026925.JPEG,n02093647,n02093647,n02093647,n02093647,n02093647,n02093647,n04070727,n01978287
n01695060\ILSVRC2012_val_00014794.JPEG,n02113712,n02113712,n02113712,n02443484,n02113712,n02090721,n04070727,n01695060
n07742313\ILSVRC2012_val_00000727.JPEG,n02895154,n02895154,n02895154,n03535780,n04069434,n02895154,n02111129,n07742313
n02514041\ILSVRC2012_val_00021708.JPEG,n01537544,n01537544,n01537544,n01537544,n01537544,n01537544,n02708093,n02514041
n02444819\ILSVRC2012_val_00032035.JPEG,n09193705,n09193705,n09193705,n09193705,n09193705,n09193705,n04041544,n02444819
n07718747\ILSVRC2012_val_00010153.JPEG,n04371430,n04371430,n04371430,n04371430,n04371430,n04371430,n02101006,n07718747
n04238763\ILSVRC2012_val_00030423.JPEG,n03617480,n03617480,n03617480,n03617480,n03617480,n03976657,n13040303,n04238763
n06596364\ILSVRC2012_val_00001606.JPEG,n03630383,n03763968,n03763968,n03763968,n03763968,n03763968,n03272010,n06596364
n03832673\ILSVRC2012_val_00032526.JPEG,n02165105,n04065272,n02165105,n04542943,n02165105,n04356056,n13040303,n03832673
n01984695\ILSVRC2012_val_00035310.JPEG,n02106030,n02106030,n02106030,n02106030,n02106030,n02106030,n04070727,n01984695
n02105412\ILSVRC2012_val_00032826.JPEG,n03642806,n03642806,n03642806,n03642806,n03642806,n03642806,n04070727,n02105412
n02071294\ILSVRC2012_val_00006253.JPEG,n02109961,n02109961,n02109961,n02109961,n02109961,n02109961,n13040303,n02071294
n01910747\ILSVRC2012_val_00026530.JPEG,n02403003,n02403003,n02403003,n02403003,n02403003,n02281406,n04120489,n01910747
n03134739\ILSVRC2012_val_00006288.JPEG,n03196217,n03196217,n03196217,n03196217,n03838899,n03196217,n04005630,n03134739
n02277742\ILSVRC2012_val_00049126.JPEG,n07753592,n07753592,n07753592,n07753592,n07753592,n12267677,n04070727,n02277742
n07714990\ILSVRC2012_val_00042227.JPEG,n04136333,n04136333,n04136333,n04136333,n04136333,n04136333,n04141327,n07714990
n07715103\ILSVRC2012_val_00006628.JPEG,n04026417,n04026417,n04026417,n04026417,n04026417,n04026417,n04111531,n07715103
n02807133\ILSVRC2012_val_00018368.JPEG,n02033041,n02033041,n04350905,n02033041,n02028035,n03887697,n04070727,n02807133
n04366367\ILSVRC2012_val_00040521.JPEG,n03482405,n03482405,n03482405,n03482405,n03482405,n03482405,n03201208,n04366367
n02666196\ILSVRC2012_val_00038165.JPEG,n01616318,n01616318,n01616318,n01616318,n01616318,n01616318,n04041544,n02666196
n04310018\ILSVRC2012_val_00021247.JPEG,n03207743,n03207743,n03207743,n03207743,n03207743,n03207743,n02708093,n04310018
n01817953\ILSVRC2012_val_00004503.JPEG,n02094114,n02094114,n02094114,n02094114,n02094114,n02094114,n02701002,n01817953
n02655020\ILSVRC2012_val_00018824.JPEG,n01614925,n01614925,n01614925,n01614925,n02097130,n03063599,n04070727,n02655020
n01675722\ILSVRC2012_val_00011120.JPEG,n02389026,n02096051,n02389026,n02096051,n02389026,n01688243,n04070727,n01675722
n04004767\ILSVRC2012_val_00048309.JPEG,n07718472,n07718472,n07718472,n07718472,n07718472,n07718472,n03272010,n04004767
n04285008\ILSVRC2012_val_00003049.JPEG,n02747177,n02747177,n02747177,n02747177,n02747177,n02747177,n07716358,n04285008
n03770679\ILSVRC2012_val_00035864.JPEG,n02037110,n02319095,n02319095,n02319095,n02319095,n02319095,n13040303,n03770679
n07717556\ILSVRC2012_val_00015447.JPEG,n04235860,n04235860,n04235860,n04235860,n04235860,n02106550,n02701002,n07717556
n03942813\ILSVRC2012_val_00047088.JPEG,n04604644,n04604644,n04604644,n04604644,n04604644,n03026506,n03201208,n03942813
n03534580\ILSVRC2012_val_00002592.JPEG,n01770081,n03028079,n01770081,n01770081,n04229816,n02027492,n13040303,n03534580
n01984695\ILSVRC2012_val_00037902.JPEG,n02106030,n02106030,n02106030,n02106030,n02106030,n02091831,n04070727,n01984695
n04357314\ILSVRC2012_val_00038081.JPEG,n02229544,n03000134,n02229544,n03956157,n03000134,n03250847,n03100240,n04357314
n01582220\ILSVRC2012_val_00032667.JPEG,n02102177,n02102177,n02102177,n02102177,n02102177,n02102177,n04070727,n01582220
n02058221\ILSVRC2012_val_00049170.JPEG,n02395406,n02094258,n02395406,n02395406,n02395406,n02395406,n13040303,n02058221
n04273569\ILSVRC2012_val_00010190.JPEG,n04599235,n04599235,n04599235,n04599235,n04599235,n02747177,n13040303,n04273569
n03141823\ILSVRC2012_val_00048778.JPEG,n04548280,n04548280,n04548280,n04548280,n04548280,n04548280,n03109150,n03141823
n03840681\ILSVRC2012_val_00014785.JPEG,n04418357,n03877845,n06596364,n06596364,n06596364,n06596364,n04070727,n03840681
n01530575\ILSVRC2012_val_00033580.JPEG,n02125311,n02125311,n02125311,n02125311,n02125311,n02125311,n04041544,n01530575
n02100583\ILSVRC2012_val_00010808.JPEG,n02483362,n02444819,n02444819,n02444819,n02095314,n03444034,n13040303,n02100583
n02120079\ILSVRC2012_val_00031530.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,n03417042,n04004767,n02120079
n01818515\ILSVRC2012_val_00012864.JPEG,n02087046,n02087046,n02087046,n02087046,n02087046,n02087046,n02701002,n01818515
n02480495\ILSVRC2012_val_00033841.JPEG,n09332890,n09332890,n09332890,n09332890,n09332890,n09332890,n13040303,n02480495
n03345487\ILSVRC2012_val_00047461.JPEG,n04004767,n04004767,n04004767,n04004767,n04004767,n04004767,n13040303,n03345487
n03868863\ILSVRC2012_val_00007585.JPEG,n03729826,n03729826,n03729826,n03729826,n01833805,n04040759,n03000684,n03868863
n02412080\ILSVRC2012_val_00026750.JPEG,n04487394,n04487394,n04487394,n04487394,n04487394,n04487394,n04081281,n02412080
n13044778\ILSVRC2012_val_00022096.JPEG,n03063599,n03063599,n03063599,n03063599,n03063599,n04325704,n04070727,n13044778
n03445924\ILSVRC2012_val_00042743.JPEG,n02965783,n02965783,n02965783,n02965783,n02965783,n02965783,n13040303,n03445924
n02815834\ILSVRC2012_val_00044110.JPEG,n02051845,n02051845,n02051845,n02051845,n02051845,n07715103,n04041544,n02815834
n02109961\ILSVRC2012_val_00033758.JPEG,n03773504,n03773504,n03478589,n03773504,n03478589,n03773504,n04070727,n02109961
n02487347\ILSVRC2012_val_00003000.JPEG,n03649909,n03649909,n03649909,n03954731,n03649909,n03954731,n04070727,n02487347
n03379051\ILSVRC2012_val_00020653.JPEG,n04372370,n04372370,n04372370,n04372370,n04372370,n04372370,n07614500,n03379051
n04136333\ILSVRC2012_val_00024048.JPEG,n04229816,n04229816,n04229816,n04229816,n04229816,n03065424,n02101006,n04136333
n12144580\ILSVRC2012_val_00038919.JPEG,n03657121,n03657121,n03657121,n03657121,n03657121,n03657121,n04070727,n12144580
n02011460\ILSVRC2012_val_00008929.JPEG,n02100236,n02100236,n02100236,n02100236,n02100236,n02100236,n04041544,n02011460
n03476684\ILSVRC2012_val_00008183.JPEG,n02883205,n03804744,n02883205,n02883205,n03492542,n03492542,n10148035,n03476684
n01775062\ILSVRC2012_val_00028355.JPEG,n02098286,n02129604,n02098286,n03982430,n02099601,n04380533,n04070727,n01775062
