Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n01443537\cartoon_28.jpg,comic book,comic book,comic book,comic book,comic book,pencil box,n03223299,n01443537
n01443537\cartoon_29.jpg,comic book,comic book,piggy bank,comic book,comic book,jack-o'-lantern,n03000134,n01443537
n01443537\cartoon_3.jpg,comic book,ping-pong ball,comic book,comic book,comic book,comic book,n03788195,n01443537
n01443537\cartoon_30.jpg,rock beauty,hair slide,pillow,rock beauty,tray,rock beauty,n02130308,n01443537
n01443537\cartoon_31.jpg,shower curtain,comic book,comic book,ocarina,jigsaw puzzle,jersey,n03197337,n01443537
n01443537\cartoon_32.jpg,jersey,comic book,comic book,comic book,comic book,sunglass,n03000134,n01443537
n01443537\cartoon_33.jpg,toilet tissue,pick,disk brake,shield,shield,wall clock,n02111129,n01443537
n01443537\cartoon_34.jpg,goldfish,goldfish,goldfish,sea slug,goldfish,goldfish,n02130308,n01443537
n01443537\cartoon_35.jpg,backpack,toilet seat,comic book,shield,shield,shield,n03000134,n01443537
n01443537\cartoon_36.jpg,bikini,jersey,ear,yellow lady's slipper,groenendael,flute,n03197337,n01443537
n01443537\cartoon_37.jpg,jersey,comic book,jersey,hook,comic book,parachute,n02130308,n01443537
n01443537\cartoon_38.jpg,terrapin,terrapin,barracouta,macaw,terrapin,swab,n03100240,n01443537
n01443537\cartoon_39.jpg,handkerchief,tray,comic book,nematode,butternut squash,bib,n04507155,n01443537
n01443537\cartoon_4.jpg,hair slide,hair slide,mask,hair slide,mask,pinwheel,n03223299,n01443537
n01443537\cartoon_40.jpg,toilet seat,punching bag,umbrella,balloon,umbrella,bow tie,n03272010,n01443537
n01443537\cartoon_41.jpg,tray,maze,flatworm,tray,tray,pillow,n03032252,n01443537
n01443537\cartoon_5.jpg,pick,hair slide,pencil box,comic book,pencil box,sandal,n03100240,n01443537
n01443537\cartoon_6.jpg,handkerchief,handkerchief,handkerchief,handkerchief,pillow,handkerchief,n03255030,n01443537
n01443537\cartoon_7.jpg,jellyfish,pick,pick,jellyfish,jellyfish,jellyfish,n02130308,n01443537
n01443537\cartoon_8.jpg,punching bag,comic book,comic book,comic book,comic book,kimono,n02119789,n01443537
n01443537\cartoon_9.jpg,pinwheel,hair slide,pinwheel,balloon,jack-o'-lantern,pencil sharpener,n03223299,n01443537
n01443537\deviantart_0.jpg,bubble,coral reef,bubble,coral reef,bubble,screen,n02730930,n01443537
n01443537\deviantart_1.jpg,comic book,shower cap,wig,hoopskirt,wig,wig,n10148035,n01443537
n01443537\deviantart_10.jpg,maillot,miniskirt,maillot,maillot,wig,stole,n10148035,n01443537
n01443537\deviantart_11.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n03000134,n01443537
n01443537\deviantart_12.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n03223299,n01443537
n01443537\deviantart_13.jpg,comic book,jellyfish,scuba diver,jellyfish,jellyfish,scuba diver,n03000134,n01443537
n01443537\deviantart_14.jpg,handkerchief,pajama,comic book,pajama,handkerchief,jigsaw puzzle,n04525305,n01443537
n01443537\deviantart_15.jpg,comic book,comic book,comic book,comic book,comic book,comic book,n04525305,n01443537
n01443537\deviantart_16.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n12768682,n01443537
n01443537\deviantart_2.jpg,comic book,comic book,comic book,comic book,comic book,football helmet,n10148035,n01443537
n01443537\deviantart_3.jpg,comic book,carousel,comic book,theater curtain,nematode,jack-o'-lantern,n10148035,n01443537
n01443537\deviantart_4.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n03000134,n01443537
n01443537\deviantart_5.jpg,jigsaw puzzle,saltshaker,comic book,jigsaw puzzle,comic book,jigsaw puzzle,n04525305,n01443537
n01443537\deviantart_6.jpg,handkerchief,hair slide,electric ray,washbasin,tray,lycaenid,n02130308,n01443537
n01443537\deviantart_7.jpg,comic book,reel,comic book,bow,comic book,pencil sharpener,n02123045,n01443537
n01443537\deviantart_8.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n02130308,n01443537
n01443537\deviantart_9.jpg,comic book,comic book,comic book,comic book,mask,mask,n10148035,n01443537
n01443537\embroidery_0.jpg,mitten,poncho,cardigan,poncho,mitten,poncho,n07802026,n01443537
n01443537\embroidery_1.jpg,handkerchief,handkerchief,mitten,banded gecko,starfish,banded gecko,n03126707,n01443537
n01443537\embroidery_10.jpg,tray,envelope,starfish,goldfish,goldfish,goldfish,n01531178,n01443537
n01443537\embroidery_11.jpg,tray,goldfish,book jacket,tray,shower curtain,goldfish,n04070727,n01443537
n01443537\embroidery_2.jpg,maraca,saltshaker,hair slide,wool,wool,wool,n03201208,n01443537
n01443537\embroidery_3.jpg,face powder,toilet seat,toilet seat,toilet seat,toilet seat,strainer,n02120079,n01443537
n01443537\embroidery_4.jpg,handkerchief,handkerchief,handkerchief,handkerchief,handkerchief,handkerchief,n02130308,n01443537
n01443537\embroidery_5.jpg,doormat,packet,wool,envelope,bib,pillow,n02111129,n01443537
n01443537\embroidery_6.jpg,pillow,bib,jigsaw puzzle,bib,bib,doormat,n02119789,n01443537
n01443537\embroidery_7.jpg,chainlink fence,chainlink fence,chainlink fence,chainlink fence,chainlink fence,chainlink fence,n07583066,n01443537
n01443537\embroidery_8.jpg,bib,bib,jigsaw puzzle,tray,bib,bonnet,n02111889,n01443537
n01443537\embroidery_9.jpg,pillow,handkerchief,quilt,jigsaw puzzle,handkerchief,pillow,n03272010,n01443537
n01443537\graffiti_0.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n04507155,n01443537
n01443537\graffiti_1.jpg,goldfish,rock beauty,goldfish,goldfish,pinwheel,parking meter,n03255030,n01443537
n01443537\graffiti_10.jpg,pillow,starfish,goldfish,jellyfish,jellyfish,starfish,n02130308,n01443537
n01443537\graffiti_11.jpg,ashcan,freight car,mailbox,rain barrel,freight car,banana,n07583066,n01443537
n01443537\graffiti_12.jpg,ashcan,gas pump,book jacket,street sign,book jacket,book jacket,n12267677,n01443537
n01443537\graffiti_13.jpg,jack-o'-lantern,totem pole,shield,jigsaw puzzle,mailbox,jack-o'-lantern,n02108089,n01443537
n01443537\graffiti_14.jpg,mailbox,mailbox,barrel,mailbox,comic book,shield,n03272010,n01443537
n01443537\graffiti_15.jpg,goldfish,common newt,puffer,goldfish,goldfish,cockroach,n04525305,n01443537
n01443537\graffiti_16.jpg,pillow,goldfish,goldfish,acoustic guitar,goldfish,sock,n02130308,n01443537
n01443537\graffiti_17.jpg,goldfish,goldfish,goldfish,comic book,pinwheel,pinwheel,n04070727,n01443537
n01443537\graffiti_18.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n02130308,n01443537
n01443537\graffiti_19.jpg,goldfish,rock beauty,goldfish,pinwheel,goldfish,monarch,n13040303,n01443537
n01443537\graffiti_2.jpg,manhole cover,manhole cover,doormat,doormat,doormat,doormat,n02130308,n01443537
n01443537\graffiti_20.jpg,comic book,comic book,comic book,comic book,comic book,comic book,n03272010,n01443537
n01443537\graffiti_21.jpg,barrel,barrel,barrel,barrel,barrel,mask,n02108089,n01443537
n01443537\graffiti_3.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n03255030,n01443537
n01443537\graffiti_4.jpg,padlock,comic book,padlock,comic book,comic book,dragonfly,n07802026,n01443537
n01443537\graffiti_5.jpg,jigsaw puzzle,jigsaw puzzle,doormat,jigsaw puzzle,doormat,doormat,n02108089,n01443537
n01443537\graffiti_6.jpg,ashcan,ashcan,eel,ashcan,tree frog,scuba diver,n02111129,n01443537
n01443537\graffiti_7.jpg,comic book,comic book,comic book,goldfish,comic book,comic book,n03673027,n01443537
n01443537\graffiti_8.jpg,doormat,doormat,electric ray,doormat,doormat,doormat,n02111129,n01443537
n01443537\graffiti_9.jpg,ashcan,jigsaw puzzle,jigsaw puzzle,comic book,jigsaw puzzle,comic book,n02112018,n01443537
n01443537\graphic_0.jpg,comic book,comic book,comic book,jack-o'-lantern,comic book,jack-o'-lantern,n03100240,n01443537
n01443537\graphic_1.jpg,goldfish,book jacket,goldfish,tray,goldfish,packet,n04507155,n01443537
n01443537\graphic_2.jpg,packet,rubber eraser,packet,rubber eraser,toilet seat,soccer ball,n02120079,n01443537
n01443537\graphic_3.jpg,goldfish,American lobster,goldfish,goldfish,goldfish,American lobster,n03201208,n01443537
n01443537\misc_0.jpg,doormat,wallet,book jacket,book jacket,book jacket,trilobite,n03032252,n01443537
n01443537\misc_1.jpg,coffee mug,coffee mug,coffee mug,coffee mug,buckle,running shoe,n04200800,n01443537
n01443537\misc_10.jpg,mask,piggy bank,piggy bank,mask,piggy bank,jigsaw puzzle,n03733131,n01443537
n01443537\misc_2.jpg,goldfish,goldfish,goldfish,pinwheel,goldfish,goldfish,n02130308,n01443537
n01443537\misc_3.jpg,goldfish,goldfish,pinwheel,pinwheel,necklace,pinwheel,n13052670,n01443537
n01443537\misc_4.jpg,screen,screen,screen,screen,screen,macaw,n03673027,n01443537
n01443537\misc_5.jpg,coffee mug,television,laptop,television,television,lampshade,n03272010,n01443537
n01443537\misc_6.jpg,goldfish,goldfish,chime,agaric,necklace,agaric,n03223299,n01443537
n01443537\misc_7.jpg,goldfish,pinwheel,plastic bag,pinwheel,pinwheel,pinwheel,n02130308,n01443537
n01443537\misc_8.jpg,hair slide,hair slide,macaw,rock crab,necklace,knot,n03100240,n01443537
n01443537\misc_9.jpg,mitten,mitten,mitten,strawberry,mitten,mitten,n03223299,n01443537
n01443537\origami_0.jpg,pinwheel,pinwheel,umbrella,umbrella,pinwheel,pinwheel,n13040303,n01443537
n01443537\origami_1.jpg,pencil sharpener,pencil sharpener,pinwheel,umbrella,pencil sharpener,wing,n15075141,n01443537
n01443537\origami_10.jpg,pinwheel,lionfish,hair slide,pinwheel,pinwheel,pinwheel,n02130308,n01443537
n01443537\origami_11.jpg,birdhouse,pinwheel,pinwheel,pinwheel,pinwheel,poncho,n04200800,n01443537
n01443537\origami_12.jpg,envelope,envelope,pinwheel,envelope,envelope,envelope,n02033041,n01443537
n01443537\origami_13.jpg,pinwheel,pinwheel,pinwheel,hook,hatchet,goldfish,n02033041,n01443537
n01443537\origami_2.jpg,water jug,bubble,goldfish,pinwheel,pinwheel,bassinet,n02130308,n01443537
n01443537\origami_3.jpg,jack-o'-lantern,pinwheel,pinwheel,jersey,pinwheel,goldfish,n03272010,n01443537
n01443537\origami_4.jpg,honeycomb,envelope,envelope,envelope,envelope,wallet,n03888605,n01443537
n01443537\origami_5.jpg,pinwheel,pinwheel,pinwheel,pinwheel,pinwheel,pinwheel,n07583066,n01443537
n01443537\origami_6.jpg,necklace,necklace,chain,pick,chain,frying pan,n02120079,n01443537
n01443537\origami_7.jpg,beer glass,beer glass,goblet,beer glass,goblet,beer glass,n02130308,n01443537
n01443537\origami_8.jpg,pinwheel,pinwheel,pinwheel,pinwheel,pinwheel,goldfish,n03000247,n01443537
n01443537\origami_9.jpg,pinwheel,pinwheel,pinwheel,pinwheel,pinwheel,goldfish,n02033041,n01443537
n01443537\painting_0.jpg,comic book,comic book,envelope,envelope,comic book,jack-o'-lantern,n02130308,n01443537
n01443537\painting_1.jpg,handkerchief,handkerchief,handkerchief,handkerchief,handkerchief,handkerchief,n03272010,n01443537
n01443537\painting_10.jpg,goldfish,goldfish,jellyfish,jellyfish,goldfish,goldfish,n03272010,n01443537
n01443537\painting_11.jpg,jigsaw puzzle,jigsaw puzzle,sarong,sarong,sarong,goldfish,n04200800,n01443537
n01443537\painting_12.jpg,gong,gong,gong,jellyfish,banjo,cello,n03272010,n01443537
n01443537\painting_13.jpg,Band Aid,Band Aid,Band Aid,Band Aid,seat belt,Band Aid,n03775071,n01443537
n01443537\painting_14.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n02167151,n01443537
n01443537\painting_15.jpg,pencil box,wallet,envelope,pencil box,pencil box,pencil box,n07583066,n01443537
n01443537\painting_16.jpg,comic book,comic book,book jacket,book jacket,tray,holster,n04525305,n01443537
n01443537\painting_17.jpg,pillow,velvet,velvet,comic book,velvet,book jacket,n03255030,n01443537
n01443537\painting_18.jpg,goldfish,triceratops,goldfish,goldfish,goldfish,goldfish,n12267677,n01443537
n01443537\painting_19.jpg,jersey,coffee mug,jersey,goldfish,jersey,mortarboard,n02130308,n01443537
n01443537\painting_2.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,sea anemone,n02123045,n01443537
n01443537\painting_20.jpg,packet,packet,envelope,envelope,pillow,Christmas stocking,n02167151,n01443537
n01443537\painting_21.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,jellyfish,n03259280,n01443537
n01443537\painting_22.jpg,handkerchief,handkerchief,handkerchief,handkerchief,handkerchief,American lobster,n03032252,n01443537
n01443537\painting_23.jpg,goldfish,birdhouse,mailbox,jigsaw puzzle,goldfish,pillow,n03223299,n01443537
n01443537\painting_24.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n03255030,n01443537
n01443537\painting_25.jpg,tench,axolotl,comic book,book jacket,book jacket,jellyfish,n02130308,n01443537
n01443537\painting_26.jpg,tray,tray,tray,tray,tray,book jacket,n04200800,n01443537
n01443537\painting_27.jpg,goldfish,goldfish,goldfish,pencil sharpener,goldfish,goldfish,n03223299,n01443537
n01443537\painting_28.jpg,shower curtain,goldfish,goldfish,goldfish,goldfish,goldfish,n04070727,n01443537
n01443537\painting_29.jpg,goldfish,screen,goldfish,goldfish,goldfish,screen,n04507155,n01443537
n01443537\painting_3.jpg,tray,tray,goldfish,tray,handkerchief,goldfish,n03272010,n01443537
n01443537\painting_30.jpg,book jacket,book jacket,handkerchief,goldfish,book jacket,pillow,n07802026,n01443537
n01443537\painting_31.jpg,bath towel,handkerchief,handkerchief,eft,handkerchief,goldfish,n03032252,n01443537
n01443537\painting_32.jpg,street sign,doormat,doormat,macaw,doormat,patio,n13133613,n01443537
n01443537\painting_33.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n02130308,n01443537
n01443537\painting_34.jpg,comic book,comic book,comic book,comic book,comic book,red-backed sandpiper,n13040303,n01443537
n01443537\painting_35.jpg,comic book,book jacket,ocarina,comic book,book jacket,comic book,n04507155,n01443537
n01443537\painting_36.jpg,goldfish,goldfish,goldfish,coral reef,goldfish,goldfish,n02130308,n01443537
n01443537\painting_37.jpg,boxer,redbone,bloodhound,rhinoceros beetle,Rhodesian ridgeback,cockroach,n04507155,n01443537
n01443537\painting_4.jpg,goldfish,screen,goldfish,goldfish,goldfish,screen,n07583066,n01443537
n01443537\painting_5.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,starfish,n07583066,n01443537
n01443537\painting_6.jpg,bib,pillow,handkerchief,jigsaw puzzle,pillow,pillow,n03000247,n01443537
n01443537\painting_7.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,bassinet,n02130308,n01443537
n01443537\painting_8.jpg,macaw,goldfish,macaw,wig,knot,jellyfish,n03127747,n01443537
n01443537\painting_9.jpg,goblet,goblet,goblet,goblet,goblet,ocarina,n03272010,n01443537
n01443537\sculpture_0.jpg,tray,tray,goldfish,goldfish,goldfish,goldfish,n04525305,n01443537
n01443537\sculpture_1.jpg,carton,bucket,vacuum,bucket,carton,toilet seat,n03733131,n01443537
n01443537\sculpture_2.jpg,book jacket,book jacket,book jacket,book jacket,book jacket,book jacket,n02111129,n01443537
n01443537\sculpture_3.jpg,tray,tray,paintbrush,rain barrel,tray,bath towel,n03000247,n01443537
n01443537\sketch_0.jpg,comic book,comic book,comic book,comic book,comic book,safety pin,n13040303,n01443537
n01443537\sketch_1.jpg,pillow,hair slide,pick,chambered nautilus,hair slide,hair slide,n13040303,n01443537
n01443537\sketch_10.jpg,envelope,envelope,envelope,envelope,envelope,handkerchief,n03223299,n01443537
n01443537\sketch_11.jpg,hair slide,hair slide,hair slide,quill,hair slide,hair slide,n13040303,n01443537
n01443537\sketch_12.jpg,goldfish,terrapin,goldfish,African grey,puffer,bolo tie,n13040303,n01443537
n01443537\sketch_13.jpg,hair slide,hair slide,hair slide,strainer,bassinet,strainer,n13040303,n01443537
n01443537\sketch_14.jpg,goldfish,armadillo,goldfish,chambered nautilus,flatworm,strainer,n13040303,n01443537
n01443537\sketch_15.jpg,goldfish,common iguana,barracouta,armadillo,quill,envelope,n04507155,n01443537
n01443537\sketch_16.jpg,paper towel,nematode,nematode,nematode,microphone,cup,n04507155,n01443537
n01443537\sketch_17.jpg,pillow,chambered nautilus,envelope,envelope,envelope,sundial,n13040303,n01443537
n01443537\sketch_18.jpg,mud turtle,terrapin,comic book,common iguana,nematode,chain,n03100240,n01443537
n01443537\sketch_19.jpg,comic book,comic book,jellyfish,hair slide,comic book,pillow,n03272010,n01443537
n01443537\sketch_2.jpg,hook,coil,nematode,nematode,nematode,cassette,n13040303,n01443537
n01443537\sketch_3.jpg,nematode,chambered nautilus,chambered nautilus,quill,nematode,running shoe,n13040303,n01443537
n01443537\sketch_4.jpg,handkerchief,hair slide,pick,chambered nautilus,quill,mouse,n13040303,n01443537
n01443537\sketch_5.jpg,plate rack,zebra,zebra,lionfish,zebra,hair slide,n03223299,n01443537
n01443537\sketch_6.jpg,coho,terrapin,terrapin,isopod,terrapin,strainer,n03032252,n01443537
n01443537\sketch_7.jpg,hook,chambered nautilus,hair slide,nematode,hair slide,French horn,n13040303,n01443537
n01443537\sketch_8.jpg,hook,hair slide,hook,nematode,hook,necklace,n13040303,n01443537
n01443537\sketch_9.jpg,paper towel,handkerchief,jellyfish,nematode,nematode,corkscrew,n13040303,n01443537
n01443537\sticker_0.jpg,paintbrush,jellyfish,sleeping bag,jellyfish,loggerhead,goldfish,n04070727,n01443537
n01443537\sticker_1.jpg,starfish,starfish,goldfish,starfish,goldfish,starfish,n07583066,n01443537
n01443537\toy_0.jpg,pillow,ocarina,mask,quilt,pillow,ocarina,n03223299,n01443537
n01443537\toy_1.jpg,goldfish,toyshop,toyshop,anemone fish,teddy,ocarina,n02130308,n01443537
n01443537\toy_10.jpg,mitten,ocarina,teddy,Christmas stocking,purse,swab,n02233338,n01443537
n01443537\toy_11.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,crayfish,n02130308,n01443537
n01443537\toy_12.jpg,teddy,diaper,teddy,teddy,teddy,teddy,n02130308,n01443537
n01443537\toy_13.jpg,maraca,ocarina,teddy,tray,sea slug,tray,n03272010,n01443537
n01443537\toy_14.jpg,teddy,teddy,teddy,teddy,teddy,banded gecko,n03223299,n01443537
n01443537\toy_15.jpg,hair slide,hair slide,hair slide,hair slide,strawberry,strawberry,n06359193,n01443537
n01443537\toy_16.jpg,mitten,bow tie,teddy,teddy,goldfish,maraca,n04532106,n01443537
n01443537\toy_2.jpg,teddy,strawberry,earthstar,ringlet,lycaenid,ringlet,n03223299,n01443537
n01443537\toy_3.jpg,mitten,mitten,mitten,mitten,mitten,maraca,n03160309,n01443537
n01443537\toy_4.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n02133161,n01443537
n01443537\toy_5.jpg,maraca,teddy,teddy,teddy,sea urchin,bagel,n02130308,n01443537
n01443537\toy_6.jpg,mitten,Band Aid,pinwheel,teddy,teddy,orange,n02120079,n01443537
n01443537\toy_7.jpg,teddy,teddy,teddy,teddy,teddy,piggy bank,n02033041,n01443537
n01443537\toy_8.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n02130308,n01443537
n01443537\toy_9.jpg,teddy,coral reef,teddy,teddy,acorn,mitten,n02130308,n01443537
n01443537\videogame_0.jpg,handkerchief,bib,bib,hair slide,hair slide,whistle,n03223299,n01443537
n01443537\videogame_1.jpg,web site,web site,envelope,envelope,web site,envelope,n02130308,n01443537
n01443537\videogame_10.jpg,web site,ping-pong ball,jersey,analog clock,digital watch,jersey,n02119789,n01443537
n01443537\videogame_11.jpg,rubber eraser,saltshaker,ice bear,ice bear,Labrador retriever,kuvasz,n03255030,n01443537
n01443537\videogame_12.jpg,coffee mug,coffee mug,coffee mug,coffee mug,coffee mug,pitcher,n03223299,n01443537
n01443537\videogame_13.jpg,screen,comic book,comic book,comic book,rock beauty,rock beauty,n03259280,n01443537
n01443537\videogame_2.jpg,jersey,jersey,jersey,jersey,jersey,jersey,n02701002,n01443537
n01443537\videogame_3.jpg,wall clock,scale,chain,wall clock,bolo tie,frying pan,n02130308,n01443537
n01443537\videogame_4.jpg,comic book,comic book,comic book,comic book,pick,backpack,n03223299,n01443537
n01443537\videogame_5.jpg,nipple,jigsaw puzzle,corn,envelope,jigsaw puzzle,nipple,n02111129,n01443537
n01443537\videogame_6.jpg,goblet,ocarina,toilet seat,toilet seat,goblet,pitcher,n03032252,n01443537
n01443537\videogame_7.jpg,rock beauty,piggy bank,piggy bank,piggy bank,spotlight,spotlight,n12768682,n01443537
n01443537\videogame_8.jpg,panpipe,corn,panpipe,panpipe,panpipe,panpipe,n03223299,n01443537
n01443537\videogame_9.jpg,envelope,web site,web site,whistle,web site,switch,n03223299,n01443537
n01484850\art_0.jpg,great white shark,carousel,cowboy boot,Boston bull,llama,koala,n12267677,n01484850
n01484850\art_1.jpg,web site,web site,web site,envelope,web site,envelope,n02111129,n01484850
n01484850\art_10.jpg,grey whale,stingray,great white shark,quill,wool,cliff dwelling,n03032252,n01484850
n01484850\art_11.jpg,great white shark,book jacket,book jacket,great white shark,killer whale,book jacket,n02119789,n01484850
n01484850\art_12.jpg,prayer rug,envelope,jigsaw puzzle,plastic bag,great white shark,plastic bag,n07583066,n01484850
n01484850\art_13.jpg,prayer rug,prayer rug,jigsaw puzzle,jigsaw puzzle,handkerchief,jigsaw puzzle,n03272010,n01484850
n01484850\art_14.jpg,great white shark,loggerhead,ashcan,sundial,washbasin,airship,n03272010,n01484850
n01484850\art_15.jpg,tiger shark,tiger shark,tiger shark,tiger shark,tiger shark,tiger shark,n12267677,n01484850
n01484850\art_16.jpg,pencil sharpener,hand blower,crash helmet,mouse,ocarina,switch,n03223299,n01484850
n01484850\art_17.jpg,great white shark,great white shark,great white shark,great white shark,knot,sleeping bag,n12998815,n01484850
n01484850\art_2.jpg,tiger shark,tiger shark,tiger shark,great white shark,tiger shark,pelican,n03271574,n01484850
n01484850\art_3.jpg,toilet seat,jigsaw puzzle,mask,jigsaw puzzle,mask,piggy bank,n04507155,n01484850
n01484850\art_4.jpg,tile roof,solar dish,solar dish,solar dish,solar dish,electric fan,n03223299,n01484850
n01484850\art_5.jpg,great white shark,great white shark,great white shark,tiger shark,great white shark,killer whale,n04332243,n01484850
n01484850\art_6.jpg,mask,plastic bag,scorpion,quill,mask,military uniform,n03223299,n01484850
n01484850\art_7.jpg,window screen,window screen,screen,window screen,window screen,window screen,n02119789,n01484850
n01484850\art_8.jpg,mixing bowl,soup bowl,mixing bowl,bucket,soup bowl,caldron,n02111129,n01484850
n01484850\art_9.jpg,great white shark,tray,envelope,envelope,envelope,tray,n07753275,n01484850
n01484850\cartoon_0.jpg,mask,buckle,buckle,buckle,buckle,electric fan,n03032252,n01484850
n01484850\cartoon_1.jpg,rubber eraser,wallet,ballpoint,rubber eraser,rubber eraser,refrigerator,n07753275,n01484850
n01484850\cartoon_10.jpg,mask,running shoe,killer whale,cloak,mask,teapot,n12057211,n01484850
n01484850\cartoon_11.jpg,hammerhead,hatchet,hatchet,tiger shark,hammerhead,mouse,n03000134,n01484850
n01484850\cartoon_12.jpg,great white shark,web site,web site,crossword puzzle,web site,book jacket,n07711569,n01484850
n01484850\cartoon_13.jpg,bib,running shoe,electric guitar,cowboy boot,electric guitar,neck brace,n03032252,n01484850
n01484850\cartoon_14.jpg,comic book,envelope,comic book,envelope,comic book,analog clock,n03000134,n01484850
n01484850\cartoon_15.jpg,comic book,tray,comic book,jigsaw puzzle,jigsaw puzzle,velvet,n02119789,n01484850
