Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer google/vit-base-patch16-224-in21k,True Label
n01443537\graffiti_12.jpg,412,571,921,919,921,921,1,n01443537
n01443537\graffiti_13.jpg,607,863,787,611,637,607,1,n01443537
n01443537\graffiti_14.jpg,637,637,427,637,917,787,1,n01443537
n01443537\graffiti_15.jpg,1,26,397,1,1,314,1,n01443537
n01443537\graffiti_16.jpg,721,1,1,402,1,806,0,n01443537
n01443537\graffiti_17.jpg,1,1,1,917,723,723,1,n01443537
n01443537\graffiti_18.jpg,1,1,1,1,1,1,1,n01443537
n01443537\graffiti_19.jpg,1,392,1,723,1,323,1,n01443537
n01443537\graffiti_2.jpg,640,640,539,539,539,539,1,n01443537
n01443537\graffiti_20.jpg,917,917,917,917,917,917,0,n01443537
n01443537\graffiti_21.jpg,427,427,427,427,427,643,0,n01443537
n01443537\graffiti_3.jpg,1,1,1,1,1,1,1,n01443537
n01443537\graffiti_4.jpg,695,917,695,917,917,319,1,n01443537
n01443537\graffiti_5.jpg,611,611,539,611,539,539,1,n01443537
n01443537\graffiti_6.jpg,412,412,390,412,31,983,1,n01443537
n01443537\graffiti_7.jpg,917,917,917,1,917,917,1,n01443537
n01443537\graffiti_8.jpg,539,539,5,539,539,539,1,n01443537
n01443537\graffiti_9.jpg,412,611,611,917,611,917,1,n01443537
n01443537\graphic_0.jpg,917,917,917,607,917,607,1,n01443537
n01443537\graphic_1.jpg,1,921,1,868,1,692,0,n01443537
n01443537\graphic_2.jpg,692,767,692,767,861,805,0,n01443537
n01443537\graphic_3.jpg,1,122,1,1,1,122,1,n01443537
n01443537\misc_0.jpg,539,893,921,921,921,69,1,n01443537
n01443537\misc_1.jpg,504,504,504,504,464,770,0,n01443537
n01443537\misc_10.jpg,643,719,719,643,719,611,1,n01443537
n01443537\misc_2.jpg,1,1,1,723,1,1,1,n01443537
n01443537\misc_3.jpg,1,1,723,723,679,723,0,n01443537
n01443537\misc_4.jpg,782,782,782,782,782,88,1,n01443537
n01443537\misc_5.jpg,504,851,620,851,851,619,1,n01443537
n01443537\misc_6.jpg,1,1,494,992,679,992,1,n01443537
n01443537\misc_7.jpg,1,723,728,723,723,723,1,n01443537
n01443537\misc_8.jpg,584,584,88,119,679,616,0,n01443537
n01443537\misc_9.jpg,658,658,658,949,658,658,1,n01443537
n01443537\origami_0.jpg,723,723,879,879,723,723,0,n01443537
n01443537\origami_1.jpg,710,710,723,879,710,908,0,n01443537
n01443537\origami_10.jpg,723,396,584,723,723,723,0,n01443537
n01443537\origami_11.jpg,448,723,723,723,723,735,0,n01443537
n01443537\origami_12.jpg,549,549,723,549,549,549,0,n01443537
n01443537\origami_13.jpg,723,723,723,600,596,1,1,n01443537
n01443537\origami_2.jpg,899,971,1,723,723,431,1,n01443537
n01443537\origami_3.jpg,607,723,723,610,723,1,0,n01443537
n01443537\origami_4.jpg,599,549,549,549,549,893,0,n01443537
n01443537\origami_5.jpg,723,723,723,723,723,723,0,n01443537
n01443537\origami_6.jpg,679,679,488,714,488,567,0,n01443537
n01443537\origami_7.jpg,441,441,572,441,572,441,0,n01443537
n01443537\origami_8.jpg,723,723,723,723,723,1,0,n01443537
n01443537\origami_9.jpg,723,723,723,723,723,1,0,n01443537
n01443537\painting_0.jpg,917,917,549,549,917,607,1,n01443537
n01443537\painting_1.jpg,591,591,591,591,591,591,1,n01443537
n01443537\painting_10.jpg,1,1,107,107,1,1,1,n01443537
n01443537\painting_11.jpg,611,611,775,775,775,1,0,n01443537
n01443537\painting_12.jpg,577,577,577,107,420,486,0,n01443537
n01443537\painting_13.jpg,419,419,419,419,785,419,1,n01443537
n01443537\painting_14.jpg,1,1,1,1,1,1,1,n01443537
n01443537\painting_15.jpg,709,893,549,709,709,709,0,n01443537
n01443537\painting_16.jpg,917,917,921,921,868,597,0,n01443537
n01443537\painting_17.jpg,721,885,885,917,885,921,1,n01443537
n01443537\painting_18.jpg,1,51,1,1,1,1,1,n01443537
n01443537\painting_19.jpg,610,504,610,1,610,667,1,n01443537
n01443537\painting_2.jpg,1,1,1,1,1,108,0,n01443537
n01443537\painting_20.jpg,692,692,549,549,721,496,1,n01443537
n01443537\painting_21.jpg,1,1,1,1,1,107,1,n01443537
n01443537\painting_22.jpg,591,591,591,591,591,122,0,n01443537
n01443537\painting_23.jpg,1,448,637,611,1,721,1,n01443537
n01443537\painting_24.jpg,1,1,1,1,1,1,1,n01443537
n01443537\painting_25.jpg,0,29,917,921,921,107,1,n01443537
n01443537\painting_26.jpg,868,868,868,868,868,921,0,n01443537
n01443537\painting_27.jpg,1,1,1,710,1,1,1,n01443537
n01443537\painting_28.jpg,794,1,1,1,1,1,1,n01443537
n01443537\painting_29.jpg,1,782,1,1,1,782,1,n01443537
n01443537\painting_3.jpg,868,868,1,868,591,1,1,n01443537
n01443537\painting_30.jpg,921,921,591,1,921,721,1,n01443537
n01443537\painting_31.jpg,434,591,591,27,591,1,1,n01443537
n01443537\painting_32.jpg,919,539,539,88,539,706,1,n01443537
n01443537\painting_33.jpg,1,1,1,1,1,1,0,n01443537
n01443537\painting_34.jpg,917,917,917,917,917,140,1,n01443537
n01443537\painting_35.jpg,917,921,684,917,921,917,1,n01443537
n01443537\painting_36.jpg,1,1,1,973,1,1,1,n01443537
n01443537\painting_37.jpg,242,168,163,306,159,314,0,n01443537
n01443537\painting_4.jpg,1,782,1,1,1,782,1,n01443537
n01443537\painting_5.jpg,1,1,1,1,1,327,0,n01443537
n01443537\painting_6.jpg,443,721,591,611,721,721,0,n01443537
n01443537\painting_7.jpg,1,1,1,1,1,431,1,n01443537
n01443537\painting_8.jpg,88,1,88,903,616,107,1,n01443537
n01443537\painting_9.jpg,572,572,572,572,572,684,1,n01443537
n01443537\sculpture_0.jpg,868,868,1,1,1,1,0,n01443537
n01443537\sculpture_1.jpg,478,463,882,463,478,861,1,n01443537
n01443537\sculpture_2.jpg,921,921,921,921,921,921,1,n01443537
n01443537\sculpture_3.jpg,868,868,696,756,868,434,0,n01443537
n01443537\sketch_0.jpg,917,917,917,917,917,772,1,n01443537
n01443537\sketch_1.jpg,721,584,714,117,584,584,1,n01443537
n01443537\sketch_10.jpg,549,549,549,549,549,591,1,n01443537
n01443537\sketch_11.jpg,584,584,584,749,584,584,1,n01443537
n01443537\sketch_12.jpg,1,36,1,87,397,451,1,n01443537
n01443537\sketch_13.jpg,584,584,584,828,431,828,0,n01443537
n01443537\sketch_14.jpg,1,363,1,117,110,828,1,n01443537
n01443537\sketch_15.jpg,1,39,389,363,749,549,0,n01443537
n01443537\sketch_16.jpg,700,111,111,111,650,968,1,n01443537
n01443537\sketch_17.jpg,721,117,549,549,549,835,1,n01443537
n01443537\sketch_18.jpg,35,36,917,39,111,488,1,n01443537
n01443537\sketch_19.jpg,917,917,107,584,917,721,1,n01443537
n01443537\sketch_2.jpg,600,506,111,111,111,481,0,n01443537
n01443537\sketch_3.jpg,111,117,117,749,111,770,1,n01443537
n01443537\sketch_4.jpg,591,584,714,117,749,673,1,n01443537
n01443537\sketch_5.jpg,729,340,340,396,340,584,1,n01443537
n01443537\sketch_6.jpg,391,36,36,126,36,828,1,n01443537
n01443537\sketch_7.jpg,600,117,584,111,584,566,1,n01443537
n01443537\sketch_8.jpg,600,584,600,111,600,679,1,n01443537
n01443537\sketch_9.jpg,700,591,107,111,111,512,1,n01443537
n01443537\sticker_0.jpg,696,107,797,107,33,1,1,n01443537
n01443537\sticker_1.jpg,327,327,1,327,1,327,1,n01443537
n01443537\toy_0.jpg,721,684,643,750,721,684,0,n01443537
n01443537\toy_1.jpg,1,865,865,393,850,684,1,n01443537
n01443537\toy_10.jpg,658,684,850,496,748,840,0,n01443537
n01443537\toy_11.jpg,1,1,1,1,1,124,1,n01443537
n01443537\toy_12.jpg,850,529,850,850,850,850,0,n01443537
n01443537\toy_13.jpg,641,684,850,868,115,868,1,n01443537
n01443537\toy_14.jpg,850,850,850,850,850,38,1,n01443537
n01443537\toy_15.jpg,584,584,584,584,949,949,1,n01443537
n01443537\toy_16.jpg,658,457,850,850,1,641,1,n01443537
n01443537\toy_2.jpg,850,949,995,322,326,322,1,n01443537
n01443537\toy_3.jpg,658,658,658,658,658,641,1,n01443537
n01443537\toy_4.jpg,1,1,1,1,1,1,1,n01443537
n01443537\toy_5.jpg,641,850,850,850,328,931,1,n01443537
n01443537\toy_6.jpg,658,419,723,850,850,950,0,n01443537
n01443537\toy_7.jpg,850,850,850,850,850,719,1,n01443537
n01443537\toy_8.jpg,1,1,1,1,1,1,1,n01443537
n01443537\toy_9.jpg,850,973,850,850,988,658,1,n01443537
n01443537\videogame_0.jpg,591,443,443,584,584,902,1,n01443537
n01443537\videogame_1.jpg,916,916,549,549,916,549,0,n01443537
n01443537\videogame_10.jpg,916,722,610,409,531,610,0,n01443537
n01443537\videogame_11.jpg,767,773,296,296,208,222,0,n01443537
n01443537\videogame_12.jpg,504,504,504,504,504,725,1,n01443537
n01443537\videogame_13.jpg,782,917,917,917,392,392,0,n01443537
n01443537\videogame_2.jpg,610,610,610,610,610,610,0,n01443537
n01443537\videogame_3.jpg,892,778,488,892,451,567,0,n01443537
n01443537\videogame_4.jpg,917,917,917,917,714,414,1,n01443537
n01443537\videogame_5.jpg,680,611,987,549,611,680,1,n01443537
n01443537\videogame_6.jpg,572,684,861,861,572,725,0,n01443537
n01443537\videogame_7.jpg,392,719,719,719,818,818,0,n01443537
n01443537\videogame_8.jpg,699,987,699,699,699,699,1,n01443537
n01443537\videogame_9.jpg,549,916,916,902,916,844,0,n01443537
n01484850\art_0.jpg,2,476,514,195,355,105,1,n01484850
n01484850\art_1.jpg,916,916,916,549,916,549,1,n01484850
n01484850\art_10.jpg,147,6,2,749,911,500,0,n01484850
n01484850\art_11.jpg,2,921,921,2,148,921,1,n01484850
n01484850\art_12.jpg,741,549,611,728,2,728,1,n01484850
n01484850\art_13.jpg,741,741,611,611,591,611,1,n01484850
n01484850\art_14.jpg,2,33,412,835,896,405,1,n01484850
n01484850\art_15.jpg,3,3,3,3,3,3,0,n01484850
n01484850\art_16.jpg,710,589,518,673,684,844,0,n01484850
n01484850\art_17.jpg,2,2,2,2,616,797,0,n01484850
n01484850\art_2.jpg,3,3,3,2,3,144,1,n01484850
n01484850\art_3.jpg,861,611,643,611,643,719,1,n01484850
n01484850\art_4.jpg,858,807,807,807,807,545,1,n01484850
n01484850\art_5.jpg,2,2,2,3,2,148,0,n01484850
n01484850\art_6.jpg,643,728,71,749,643,652,1,n01484850
n01484850\art_7.jpg,904,904,782,904,904,904,0,n01484850
n01484850\art_8.jpg,659,809,659,463,809,469,1,n01484850
n01484850\art_9.jpg,2,868,549,549,549,868,1,n01484850
n01484850\cartoon_0.jpg,643,464,464,464,464,545,0,n01484850
n01484850\cartoon_1.jpg,767,893,418,767,767,760,0,n01484850
n01484850\cartoon_10.jpg,643,770,148,501,643,849,1,n01484850
n01484850\cartoon_11.jpg,4,596,596,3,4,673,1,n01484850
n01484850\cartoon_12.jpg,2,916,916,918,916,921,1,n01484850
n01484850\cartoon_13.jpg,443,770,546,514,546,678,0,n01484850
n01484850\cartoon_14.jpg,917,549,917,549,917,409,0,n01484850
n01484850\cartoon_15.jpg,917,868,917,611,611,885,0,n01484850
n01484850\cartoon_16.jpg,2,4,4,2,4,4,1,n01484850
n01484850\cartoon_2.jpg,917,917,917,917,917,921,1,n01484850
n01484850\cartoon_3.jpg,549,916,916,549,917,446,0,n01484850
n01484850\cartoon_4.jpg,917,917,917,725,917,917,0,n01484850
n01484850\cartoon_5.jpg,643,723,473,667,723,667,1,n01484850
n01484850\cartoon_6.jpg,549,767,794,115,794,474,0,n01484850
n01484850\cartoon_7.jpg,549,749,111,117,921,772,0,n01484850
n01484850\cartoon_8.jpg,917,917,917,917,917,917,1,n01484850
n01484850\cartoon_9.jpg,917,584,4,719,917,836,0,n01484850
n01484850\deviantart_0.jpg,3,391,435,435,435,435,1,n01484850
n01484850\deviantart_1.jpg,3,3,3,3,3,3,0,n01484850
n01484850\deviantart_10.jpg,917,51,126,126,917,535,1,n01484850
n01484850\deviantart_11.jpg,2,2,2,2,2,2,1,n01484850
n01484850\deviantart_12.jpg,2,2,2,2,2,3,0,n01484850
n01484850\deviantart_13.jpg,147,2,2,147,147,3,1,n01484850
n01484850\deviantart_14.jpg,3,3,149,983,3,344,0,n01484850
n01484850\deviantart_15.jpg,394,623,41,499,644,845,1,n01484850
n01484850\deviantart_16.jpg,2,2,2,2,2,2,0,n01484850
n01484850\deviantart_17.jpg,643,643,643,643,643,691,1,n01484850
n01484850\deviantart_18.jpg,2,2,3,2,2,2,0,n01484850
n01484850\deviantart_19.jpg,2,2,2,2,2,3,0,n01484850
n01484850\deviantart_2.jpg,3,3,3,3,3,3,0,n01484850
n01484850\deviantart_20.jpg,917,419,917,917,917,692,1,n01484850
n01484850\deviantart_21.jpg,3,3,3,3,4,3,1,n01484850
n01484850\deviantart_22.jpg,684,611,917,917,917,611,1,n01484850
n01484850\deviantart_23.jpg,518,518,917,518,793,414,1,n01484850
n01484850\deviantart_24.jpg,433,584,643,518,643,433,1,n01484850
n01484850\deviantart_25.jpg,148,518,584,801,749,749,0,n01484850
n01484850\deviantart_3.jpg,4,584,4,584,115,770,1,n01484850
n01484850\deviantart_4.jpg,4,4,51,51,4,51,0,n01484850
n01484850\deviantart_5.jpg,3,3,4,3,3,3,0,n01484850
n01484850\deviantart_6.jpg,3,3,3,3,3,3,1,n01484850
n01484850\deviantart_7.jpg,2,5,3,38,4,428,1,n01484850
n01484850\deviantart_8.jpg,3,3,3,3,3,344,0,n01484850
n01484850\deviantart_9.jpg,2,149,801,3,3,393,0,n01484850
n01484850\graffiti_0.jpg,148,391,917,2,148,790,1,n01484850
n01484850\graffiti_1.jpg,860,904,860,904,905,741,1,n01484850
n01484850\graphic_0.jpg,3,394,4,983,4,471,0,n01484850
n01484850\graphic_1.jpg,2,851,744,2,2,818,1,n01484850
n01484850\graphic_2.jpg,606,623,606,405,405,557,0,n01484850
n01484850\graphic_3.jpg,2,2,2,2,2,2,0,n01484850
n01484850\misc_0.jpg,2,2,2,833,489,2,1,n01484850
n01484850\misc_1.jpg,2,541,469,661,818,661,0,n01484850
n01484850\misc_10.jpg,850,850,850,457,850,87,1,n01484850
n01484850\misc_11.jpg,2,29,2,933,2,475,0,n01484850
n01484850\misc_12.jpg,2,2,2,744,2,87,1,n01484850
n01484850\misc_13.jpg,4,3,4,4,4,579,1,n01484850
n01484850\misc_2.jpg,3,3,3,3,3,3,0,n01484850
n01484850\misc_3.jpg,2,719,3,719,684,719,1,n01484850
n01484850\misc_4.jpg,2,606,3,684,4,845,1,n01484850
n01484850\misc_5.jpg,709,643,883,643,615,515,0,n01484850
n01484850\misc_6.jpg,2,3,2,433,2,3,0,n01484850
n01484850\misc_7.jpg,4,4,4,2,4,4,1,n01484850
n01484850\misc_8.jpg,591,591,529,591,496,546,1,n01484850
n01484850\misc_9.jpg,850,363,850,363,850,87,1,n01484850
n01484850\origami_0.jpg,728,892,728,728,728,723,1,n01484850
n01484850\origami_1.jpg,5,728,728,749,749,5,0,n01484850
n01484850\origami_2.jpg,3,3,879,6,2,5,0,n01484850
n01484850\origami_3.jpg,4,728,700,459,700,172,0,n01484850
n01484850\origami_4.jpg,489,904,70,728,489,70,1,n01484850
n01484850\origami_5.jpg,2,4,4,3,4,3,0,n01484850
n01484850\origami_6.jpg,4,723,4,4,700,4,1,n01484850
n01484850\origami_7.jpg,895,895,895,895,895,404,1,n01484850
n01484850\painting_0.jpg,692,728,970,728,728,791,0,n01484850
n01484850\painting_1.jpg,3,3,3,3,3,3,0,n01484850
n01484850\painting_10.jpg,411,948,591,411,411,919,1,n01484850
n01484850\painting_11.jpg,3,3,3,3,3,397,0,n01484850
n01484850\painting_12.jpg,2,3,3,4,3,667,0,n01484850
n01484850\painting_13.jpg,2,2,3,3,4,4,1,n01484850
n01484850\painting_14.jpg,148,684,643,643,3,117,0,n01484850
n01484850\painting_15.jpg,700,728,529,51,750,431,1,n01484850
n01484850\painting_16.jpg,789,598,868,921,921,868,1,n01484850
n01484850\painting_17.jpg,499,499,499,728,549,549,1,n01484850
n01484850\painting_18.jpg,2,2,2,2,2,2,0,n01484850
n01484850\painting_19.jpg,2,412,775,583,747,406,1,n01484850
n01484850\painting_2.jpg,2,2,2,2,2,2,0,n01484850
n01484850\painting_20.jpg,696,939,549,999,549,549,1,n01484850
n01484850\painting_21.jpg,146,144,23,728,146,132,1,n01484850
n01484850\painting_22.jpg,3,3,3,3,4,3,0,n01484850
n01484850\painting_23.jpg,148,728,913,973,801,147,0,n01484850
n01484850\painting_24.jpg,921,782,772,5,973,664,0,n01484850
n01484850\painting_25.jpg,2,719,3,2,3,898,1,n01484850
n01484850\painting_26.jpg,921,921,921,921,921,669,1,n01484850
n01484850\painting_27.jpg,794,664,480,446,664,782,1,n01484850
n01484850\painting_3.jpg,643,796,643,643,796,643,0,n01484850
n01484850\painting_4.jpg,3,3,3,3,3,3,0,n01484850
n01484850\painting_5.jpg,2,2,2,2,476,822,1,n01484850
n01484850\painting_6.jpg,3,3,148,2,148,178,1,n01484850
n01484850\painting_7.jpg,863,412,518,450,412,559,1,n01484850
n01484850\painting_8.jpg,2,411,443,610,433,643,1,n01484850
n01484850\painting_9.jpg,835,481,917,835,835,640,0,n01484850
n01484850\sculpture_0.jpg,2,719,619,719,719,126,1,n01484850
n01484850\sculpture_1.jpg,2,2,2,3,2,4,1,n01484850
n01484850\sculpture_2.jpg,4,807,858,853,858,442,0,n01484850
n01484850\sculpture_3.jpg,470,710,470,808,710,496,0,n01484850
n01484850\sculpture_4.jpg,3,94,666,112,666,666,1,n01484850
n01484850\sculpture_5.jpg,733,912,43,649,974,21,1,n01484850
n01484850\sculpture_6.jpg,895,895,749,895,723,134,0,n01484850
n01484850\sketch_0.jpg,749,111,688,70,111,70,0,n01484850
n01484850\sketch_1.jpg,389,3,69,514,514,514,0,n01484850
n01484850\sketch_10.jpg,3,512,512,618,512,512,0,n01484850
n01484850\sketch_11.jpg,2,2,2,2,3,728,0,n01484850
n01484850\sketch_12.jpg,643,673,684,70,684,70,1,n01484850
n01484850\sketch_13.jpg,389,314,4,749,4,770,0,n01484850
n01484850\sketch_14.jpg,600,512,749,749,512,512,1,n01484850
n01484850\sketch_15.jpg,600,618,828,818,828,828,1,n01484850
n01484850\sketch_16.jpg,591,110,610,126,749,828,1,n01484850
n01484850\sketch_17.jpg,917,512,51,107,618,535,0,n01484850
n01484850\sketch_18.jpg,473,512,772,755,559,512,1,n01484850
n01484850\sketch_19.jpg,389,389,4,51,4,895,0,n01484850
n01484850\sketch_2.jpg,3,3,3,3,3,4,0,n01484850
n01484850\sketch_20.jpg,2,2,3,3,3,512,1,n01484850
n01484850\sketch_21.jpg,680,855,111,126,111,711,0,n01484850
n01484850\sketch_22.jpg,584,2,3,836,71,559,0,n01484850
n01484850\sketch_3.jpg,2,2,2,2,2,473,1,n01484850
n01484850\sketch_4.jpg,549,650,767,673,549,772,1,n01484850
n01484850\sketch_5.jpg,721,499,4,313,600,313,1,n01484850
n01484850\sketch_6.jpg,600,966,600,70,111,512,1,n01484850
n01484850\sketch_7.jpg,2,828,2,459,618,512,1,n01484850
n01484850\sketch_8.jpg,389,512,111,749,691,512,0,n01484850
n01484850\sketch_9.jpg,2,2,2,2,2,2,0,n01484850
n01484850\tattoo_0.jpg,71,768,747,61,774,61,1,n01484850
n01484850\tattoo_1.jpg,2,514,747,797,728,643,1,n01484850
n01484850\tattoo_10.jpg,399,714,885,841,861,639,0,n01484850
n01484850\tattoo_11.jpg,901,419,419,419,419,419,1,n01484850
n01484850\tattoo_12.jpg,2,419,445,2,643,419,1,n01484850
n01484850\tattoo_13.jpg,687,794,794,794,775,887,0,n01484850
n01484850\tattoo_14.jpg,2,684,684,643,643,816,0,n01484850
n01484850\tattoo_15.jpg,643,678,691,419,796,470,1,n01484850
n01484850\tattoo_16.jpg,514,514,514,917,794,514,0,n01484850
n01484850\tattoo_17.jpg,725,643,419,419,725,69,1,n01484850
n01484850\tattoo_18.jpg,419,942,942,942,942,883,1,n01484850
n01484850\tattoo_19.jpg,901,842,610,643,842,719,0,n01484850
n01484850\tattoo_2.jpg,419,419,419,419,434,816,0,n01484850
n01484850\tattoo_20.jpg,391,921,921,306,921,793,0,n01484850
n01484850\tattoo_21.jpg,391,758,391,433,447,801,1,n01484850
n01484850\tattoo_22.jpg,693,502,795,502,619,502,0,n01484850
n01484850\tattoo_23.jpg,921,71,714,3,714,71,1,n01484850
n01484850\tattoo_24.jpg,514,514,514,514,514,514,1,n01484850
n01484850\tattoo_25.jpg,631,775,529,419,434,529,1,n01484850
n01484850\tattoo_26.jpg,549,549,549,549,549,619,0,n01484850
n01484850\tattoo_27.jpg,921,36,921,150,921,787,0,n01484850
n01484850\tattoo_28.jpg,721,721,3,340,921,968,1,n01484850
n01484850\tattoo_29.jpg,3,814,729,117,750,664,0,n01484850
n01484850\tattoo_3.jpg,883,883,883,883,883,775,0,n01484850
n01484850\tattoo_30.jpg,577,747,614,808,800,697,0,n01484850
n01484850\tattoo_31.jpg,917,643,917,917,79,566,0,n01484850
n01484850\tattoo_4.jpg,419,514,419,419,419,804,0,n01484850
n01484850\tattoo_5.jpg,725,518,725,725,725,793,0,n01484850
n01484850\tattoo_6.jpg,514,775,794,614,775,697,0,n01484850
n01484850\tattoo_7.jpg,830,770,419,419,419,419,1,n01484850
