Item,Answer_resnet18,Answer_resnet34,Answer_resnet50,Answer_resnet101,Answer_resnet152,Answer_densenet121,Answer_densenet161,Answer_densenet169,Answer_densenet201,Answer_efficientnet_b0,Answer_efficientnet_b1,Answer_efficientnet_b2,Answer_efficientnet_b3,Answer_efficientnet_b4,Answer_vgg11,Answer_vgg13,Answer_vgg16,Answer_vgg19,Answer_mobilenet_v2,Answer_mobilenet_v3_large,Answer_mobilenet_v3_small,Answer_alexnet,Answer_shufflenet_v2_x0_5,Answer_shufflenet_v2_x1_0,Answer_squeezenet1_0,Answer_squeezenet1_1,Answer_inception_v3,True Label
n01498041\0.001409_American bullfrog _ American bullfrog_0.9150916.jpg,common newt,tailed frog,tailed frog,tailed frog,whiptail,common newt,whiptail,common newt,common newt,common newt,common newt,common newt,common newt,common newt,banded gecko,whiptail,banded gecko,common newt,common newt,common newt,alligator lizard,African crocodile,African crocodile,African crocodile,common newt,African crocodile,tailed frog,American bullfrog 
n01498041\0.001489_shovel _ shovel_0.73690397.jpg,Indian cobra,sandbar,ballplayer,racket,racket,shovel,sandbar,sandbar,shovel,loggerhead,common iguana,sandbar,reel,pole,Indian cobra,sandbar,shovel,ballplayer,broom,Indian cobra,gar,ballplayer,sandbar,broom,Indian cobra,broom,pole,shovel 
n01498041\0.001768_flatworm _ flatworm_0.78718585.jpg,eel,sea slug,sea slug,electric ray,stingray,sea slug,flatworm,sea slug,meat loaf,eel,eel,sea slug,eel,sea slug,chiton,sea slug,sea slug,sea slug,sea slug,coral reef,sea slug,sea cucumber,sea cucumber,sea slug,sea cucumber,sea slug,coral reef,flatworm 
n01498041\0.002115_parachute _ reel_0.6357653.jpg,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,killer whale,grey whale,killer whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,killer whale,grey whale,grey whale,coho,parachute 
n01498041\0.002329_shovel _ shovel_0.9193225.jpg,paintbrush,paintbrush,radiator,padlock,electric ray,radiator,beer bottle,snowplow,paintbrush,shovel,padlock,military uniform,shovel,chime,umbrella,paintbrush,wreck,paintbrush,padlock,padlock,fountain,burrito,weasel,paintbrush,boa constrictor,dam,paintbrush,shovel 
n01498041\0.002610_jellyfish _ jellyfish_0.9947035.jpg,jellyfish,jellyfish,jellyfish,leatherback turtle,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jack-o'-lantern,rock beauty,jellyfish,hammerhead,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,scuba diver,jellyfish 
n01498041\0.002886_sandal _ sandal_0.9212473.jpg,Siberian husky,squirrel monkey,squirrel monkey,sandal,sandal,mousetrap,sandal,sandal,reel,sandal,sandal,sandal,sandal,sandal,Siamese cat,plane,Siamese cat,mousetrap,padlock,sandal,Boston bull,Siamese cat,screw,ant,sundial,screw,plane,sandal 
n01498041\0.003131_spatula _ spatula_0.9721848.JPEG,wok,frying pan,stingray,electric ray,stingray,wok,sunglass,sunglasses,spatula,wok,spatula,stingray,wok,wok,stingray,frying pan,wok,wok,frying pan,wok,stingray,stingray,mortar,wok,stingray,wok,sunglass,spatula 
n01498041\0.003270_shipwreck _ sea lion_0.49535587.jpg,wreck,dam,gar,great white shark,hippopotamus,dam,dam,dam,window shade,dam,dugong,ice bear,dugong,dam,dam,dam,dugong,window screen,dugong,dugong,window screen,window screen,greenhouse,dam,dam,dam,tub,shipwreck 
n01498041\0.003287_jellyfish _ jellyfish_0.6711983.jpg,jellyfish,matchstick,electric ray,electric ray,electric ray,jellyfish,electric ray,goldfish,jellyfish,jellyfish,electric ray,electric ray,electric ray,electric ray,jellyfish,proboscis monkey,jellyfish,horizontal bar,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,hip,torch,hip,goldfish,jellyfish 
n01498041\0.003780_jellyfish _ jellyfish_0.9781212.jpg,spotlight,jellyfish,jellyfish,jellyfish,jellyfish,spotlight,jellyfish,jellyfish,oscilloscope,jellyfish,jellyfish,electric ray,spotlight,stingray,spotlight,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,hammerhead,jellyfish,jellyfish,electric ray,jellyfish 
n01498041\0.004012_American bullfrog _ American bullfrog_0.45310453.jpg,water snake,water snake,common newt,stingray,electric ray,platypus,water snake,bullfrog,gar,platypus,platypus,common newt,bullfrog,platypus,water snake,water snake,water snake,water snake,water snake,platypus,axolotl,water snake,water snake,common newt,water snake,water snake,crayfish,American bullfrog 
n01498041\0.004671_marmot _ marmot_0.28429142.jpg,obelisk,obelisk,marmoset,brown bear,obelisk,ice bear,window screen,gar,pole,missile,platypus,geyser,obelisk,hammerhead,obelisk,obelisk,obelisk,obelisk,obelisk,obelisk,shower curtain,obelisk,obelisk,langur,obelisk,shower curtain,obelisk,marmot 
n01498041\0.004898_American bullfrog _ American bullfrog_0.32874936.jpg,American coot,water snake,water snake,water snake,water snake,water snake,water snake,water snake,drake,water snake,common newt,nematode,ruddy turnstone,weevil,water snake,tick,goldfish,water snake,water snake,water snake,water snake,coho,bubble,tick,water snake,wok,goldfish,American bullfrog 
n01498041\0.004968_sea anemone _ sea anemone_0.6247352.jpg,puffer,sea cucumber,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,puffer,coral reef,sea anemone 
n01498041\0.005096_armadillo _ racket_0.505435.jpg,armadillo,diamondback,sturgeon,gar,electric ray,racket,leatherback turtle,racket,electric ray,African crocodile,electric ray,armadillo,dragonfly,chain saw,bow,electric ray,bow,muzzle,African crocodile,armadillo,Indian cobra,alligator lizard,caldron,armadillo,shield,sidewinder,electric fan,armadillo 
n01498041\0.005107_sea lion _ sea lion_0.7491285.jpg,Great Dane,Sussex spaniel,electric ray,electric ray,electric ray,plastic bag,tiger shark,Great Dane,packet,Chesapeake Bay retriever,cougar,electric ray,sea lion,stingray,platypus,hatchet,Chesapeake Bay retriever,platypus,Chesapeake Bay retriever,Great Dane,malinois,Irish setter,malinois,borzoi,giant schnauzer,Leonberg,malinois,sea lion 
n01498041\0.005189_castle _ goose_0.3962861.jpg,dam,lakeside,pier,pier,pier,lakeside,lakeside,lakeside,lakeside,water snake,pier,stingray,fountain,terrapin,pier,pier,pier,pier,lakeside,dam,black swan,boathouse,dam,boathouse,fountain,lakeside,water buffalo,castle 
n01498041\0.005627_oystercatcher _ oystercatcher_0.76587486.jpg,little blue heron,grey whale,grey whale,albatross,little blue heron,bald eagle,little blue heron,red-breasted merganser,pelican,little blue heron,albatross,little blue heron,crane bird,grey whale,little blue heron,albatross,albatross,little blue heron,albatross,little blue heron,red-breasted merganser,albatross,killer whale,little blue heron,red-breasted merganser,red-backed sandpiper,grey whale,oystercatcher 
n01498041\0.005839_snail _ snail_0.7540516.jpg,chambered nautilus,chambered nautilus,electric ray,electric ray,electric ray,brain coral,shield,loggerhead,nematode,electric ray,electric ray,snail,electric ray,artichoke,chambered nautilus,loggerhead,electric ray,breastplate,chambered nautilus,terrapin,spotlight,chambered nautilus,thimble,shield,chambered nautilus,chambered nautilus,electric ray,snail 
n01498041\0.006187_spider web _ spider web_0.6316925.jpg,spider web,water snake,water snake,mud turtle,water snake,water snake,water snake,water snake,water snake,water snake,water snake,water snake,water snake,water snake,mud turtle,American alligator,water snake,water snake,water snake,water snake,water snake,American alligator,American alligator,water snake,water snake,water snake,water snake,spider web 
n01498041\0.006242_white-headed capuchin _ leafhopper_0.8348732.jpg,ladybug,snorkel,snorkel,jellyfish,jellyfish,ladybug,platypus,jellyfish,jellyfish,jellyfish,nematode,screw,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,snorkel,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,snorkel,goldfish,hummingbird,snorkel,white-headed capuchin 
n01498041\0.006388_starfish _ American bullfrog_0.2916988.jpg,water snake,water snake,coral reef,ptarmigan,coral reef,water snake,mud turtle,crayfish,platypus,rock crab,puffer,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,sea cucumber,stone wall,coral reef,coral reef,water snake,coral reef,coral reef,coral reef,breakwater,starfish 
n01498041\0.006611_nail _ nail_0.76995707.jpg,mousetrap,African crocodile,skunk,sandbar,water snake,mousetrap,water snake,sandbar,quill,seashore,sandbar,water snake,sandbar,leatherback turtle,mousetrap,mousetrap,water snake,ant,water snake,water snake,water ouzel,water snake,platypus,water snake,mashed potato,leatherback turtle,pelican,nail 
n01498041\0.006639_koala _ American bullfrog_0.6658246.jpg,platypus,bullfrog,electric ray,electric ray,electric ray,bullfrog,barracouta,bullfrog,bolete,electric ray,bullfrog,electric ray,electric ray,electric ray,crayfish,bullfrog,bullfrog,common newt,eft,rock crab,crayfish,koala,crayfish,platypus,mud turtle,pineapple,American alligator,koala 
n01498041\0.008238_pufferfish _ pufferfish_0.9980763.jpg,puffer,puffer,puffer,puffer,puffer,puffer,electric ray,puffer,puffer,puffer,puffer,puffer,puffer,puffer,puffer,coral reef,puffer,puffer,puffer,puffer,puffer,sea cucumber,puffer,puffer,coral reef,puffer,leopard,pufferfish 
n01498041\0.008380_jellyfish _ jellyfish_0.4462864.jpg,volcano,goldfish,volcano,volcano,jellyfish,geyser,volcano,goldfish,jellyfish,volcano,volcano,volcano,volcano,volcano,goldfish,goldfish,goldfish,goldfish,nematode,goldfish,goldfish,goldfish,volcano,volcano,lampshade,rapeseed,yellow lady's slipper,jellyfish 
n01498041\0.008573_nail _ nail_0.9961533.jpg,nail,nail,stingray,hammerhead,stingray,hammer,nail,nail,hammerhead,hammer,nail,hatchet,hatchet,conch,nail,nail,nail,nail,nail,tile roof,hammer,tile roof,reel,hatchet,hornbill,thatch,spatula,nail 
n01498041\0.008706_sea lion _ sea lion_0.99970835.jpg,sea lion,hammerhead,sea lion,sea lion,dugong,dugong,sea lion,sea lion,sea lion,sea lion,sea lion,dugong,dugong,sea lion,killer whale,electric ray,electric ray,sea lion,dugong,dugong,electric ray,great white shark,hammerhead,electric ray,hammerhead,hammerhead,sea lion,sea lion 
n01498041\0.009826_oystercatcher _ oystercatcher_0.507203.jpg,killer whale,killer whale,grey whale,grey whale,killer whale,killer whale,grey whale,killer whale,killer whale,grey whale,grey whale,grey whale,killer whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,grey whale,killer whale,grey whale,killer whale,killer whale,killer whale,killer whale,oystercatcher 
n01498041\0.010555_reel _ crayfish_0.69367814.jpg,Dungeness crab,butcher shop,coho,coho,coho,barracouta,coho,coho,barracouta,butcher shop,barracouta,butcher shop,barracouta,butcher shop,butcher shop,Dungeness crab,butcher shop,butcher shop,coho,coho,French loaf,tractor,hotdog,Dungeness crab,Dungeness crab,Dungeness crab,barracouta,reel 
n01498041\0.010562_jellyfish _ jellyfish_0.9875066.jpg,bubble,bubble,stingray,electric ray,stingray,electric ray,jellyfish,electric ray,jellyfish,chiton,electric ray,electric ray,sea urchin,chiton,necklace,jellyfish,electric ray,jellyfish,electric ray,electric ray,chiton,chiton,bubble,leatherback turtle,Petri dish,electric ray,strainer,jellyfish 
n01498041\0.012315_ant _ ant_0.8053239.jpg,volcano,volcano,coral reef,alp,alp,coral reef,coral reef,valley,alp,hammerhead,stingray,volcano,African elephant,coral reef,coral reef,coral reef,coral reef,coral reef,sulphur-crested cockatoo,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,alp,ant 
n01498041\0.012382_snail _ snail_0.95674086.jpg,slug,snail,electric ray,electric ray,electric ray,snail,snail,electric ray,snail,slug,electric ray,platypus,electric ray,electric ray,slug,slug,platypus,electric ray,slug,snail,slug,hammer,electric ray,electric ray,dough,slug,bullfrog,snail 
n01498041\0.012690_banjo _ banjo_0.3960394.jpg,shield,rain barrel,Dutch oven,electric ray,electric ray,spotlight,Dutch oven,barrel,barrel,Dutch oven,Dutch oven,dough,Dutch oven,Dutch oven,Dutch oven,Dutch oven,Petri dish,steel drum,eggnog,Dutch oven,Dutch oven,dough,mashed potato,mashed potato,hot pot,banjo,dough,banjo 
n01498041\0.013280_crayfish _ crayfish_0.58014005.jpg,wok,hot pot,crayfish,stingray,stingray,Dutch oven,water snake,axolotl,stingray,water snake,screwdriver,stingray,stingray,stingray,water snake,water snake,rock crab,pizza,stone wall,axolotl,pizza,potpie,potpie,frying pan,potpie,potpie,electric ray,crayfish 
n01498041\0.014393_pufferfish _ pufferfish_0.67839026.jpg,hermit crab,brain coral,snail,brain coral,brain coral,fiddler crab,coral reef,flatworm,puffer,brain coral,puffer,brain coral,sea slug,coral reef,hermit crab,lionfish,chambered nautilus,hermit crab,hermit crab,coral reef,fiddler crab,lionfish,fiddler crab,coral reef,rock crab,Gila monster,barn spider,pufferfish 
n01498041\0.014708_sea lion _ sea lion_0.99241525.jpg,sea lion,killer whale,sea lion,hammerhead,sturgeon,sea lion,killer whale,sea lion,sea lion,barracouta,great white shark,hammerhead,tiger shark,sea lion,sea lion,sea lion,gar,killer whale,killer whale,killer whale,killer whale,space shuttle,sea lion,tiger shark,English foxhound,sea lion,barracouta,sea lion 
n01498041\0.015128_starfish _ volcano_0.91624254.jpg,jellyfish,volcano,sea cucumber,conch,conch,conch,conch,conch,volcano,electric ray,conch,electric ray,volcano,conch,loggerhead,loggerhead,sea cucumber,conch,sea cucumber,chiton,electric ray,electric ray,electric ray,electric ray,leatherback turtle,electric ray,loggerhead,starfish 
n01498041\0.016148_jellyfish _ jellyfish_0.95543647.jpg,volcano,volcano,sea cucumber,mortar,sea cucumber,sturgeon,sea cucumber,mortar,sea cucumber,eel,sea cucumber,eel,eel,grey whale,eel,eel,sturgeon,sea cucumber,platypus,sea cucumber,eel,mud turtle,sea cucumber,water snake,volcano,water snake,axolotl,jellyfish 
n01498041\0.016300_sea lion _ sea lion_0.9963648.jpg,sea lion,sea lion,sea lion,sea lion,stingray,sea lion,sea lion,sea lion,sea lion,sea lion,hammerhead,sea lion,electric ray,sea lion,sea lion,sea lion,killer whale,sea lion,sea lion,electric ray,electric ray,sea lion,sea lion,hammerhead,sea lion,stingray,hammerhead,sea lion 
n01498041\0.016882_American bullfrog _ American bullfrog_0.9493031.jpg,sea cucumber,sea cucumber,bullfrog,electric ray,electric ray,bullfrog,tailed frog,sea cucumber,crayfish,sea cucumber,bullfrog,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,bullfrog,sea snake,sea cucumber,water snake,sea cucumber,water snake,water snake,tailed frog,American bullfrog 
n01498041\0.023915_chain _ tarantula_0.7766003.jpg,boa constrictor,boa constrictor,banded gecko,electric ray,electric ray,frilled lizard,mosquito net,boa constrictor,mosquito net,boa constrictor,boa constrictor,window screen,jean,knee pad,frilled lizard,necklace,cardigan,boa constrictor,frilled lizard,necklace,common iguana,necklace,American chameleon,frilled lizard,frilled lizard,frilled lizard,common iguana,chain 
n01498041\0.024857_snail _ snail_0.87010866.jpg,slug,mushroom,slug,ant,stingray,electric ray,slug,mushroom,mushroom,snail,slug,gyromitra,mushroom,mushroom,slug,slug,slug,slug,slug,tick,slug,nail,mushroom,snail,paintbrush,ant,rhinoceros beetle,snail 
n01498041\0.025409_flatworm _ flatworm_0.8179742.jpg,electric ray,electric ray,electric ray,electric ray,electric ray,flatworm,flatworm,flatworm,electric ray,chiton,electric ray,electric ray,electric ray,flatworm,sea cucumber,electric ray,electric ray,sea cucumber,electric ray,sea cucumber,sea cucumber,sea cucumber,sea cucumber,electric ray,sea cucumber,sea cucumber,tick,flatworm 
n01498041\0.025779_sea anemone _ sea anemone_0.83062094.jpg,jellyfish,puffer,sea slug,flatworm,stingray,jellyfish,flatworm,flatworm,sea anemone,sea anemone,stingray,fiddler crab,stingray,sea anemone,puffer,flatworm,sea anemone,lionfish,sea cucumber,sea anemone,trilobite,centipede,puffer,trilobite,trilobite,puffer,sea lion,sea anemone 
n01498041\0.026158_jellyfish _ hermit crab_0.5926481.jpg,eel,coral reef,coral reef,stingray,stingray,guacamole,coral reef,sea slug,coral reef,sea slug,coral reef,coral reef,coral reef,coral reef,coral reef,sea slug,coral reef,sea cucumber,coral reef,coral reef,coral reef,spaghetti squash,spaghetti squash,eel,coral reef,guacamole,starfish,jellyfish 
n01498041\0.030269_sea lion _ sea lion_0.9981798.jpg,sea lion,hammerhead,hammerhead,great white shark,hammerhead,sea lion,sea lion,sea lion,sea lion,great white shark,scuba diver,sea lion,great white shark,great white shark,great white shark,sea lion,sea lion,sea lion,scuba diver,great white shark,great white shark,sea lion,scuba diver,electric ray,hammerhead,great white shark,sea lion,sea lion 
n01498041\0.036797_sea lion _ sea lion_0.99898714.jpg,killer whale,killer whale,killer whale,killer whale,killer whale,sea lion,killer whale,killer whale,killer whale,killer whale,killer whale,killer whale,killer whale,killer whale,killer whale,sea lion,killer whale,killer whale,sea lion,killer whale,great white shark,great white shark,killer whale,killer whale,wing,great white shark,killer whale,sea lion 
n01498041\0.038485_stethoscope _ stethoscope_0.68355024.jpg,bonnet,strainer,mailbag,honeycomb,mailbag,diaper,diaper,diaper,diaper,bonnet,honeycomb,diaper,electric ray,plastic bag,brassiere,mailbag,mailbag,running shoe,bonnet,mailbag,teddy,running shoe,fire screen,bonnet,bonnet,bonnet,shower cap,stethoscope 
n01498041\0.042708_parachute _ parachute_0.25764707.jpg,albatross,grey whale,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,albatross,little blue heron,albatross,albatross,little blue heron,soap dispenser,parachute 
n01498041\0.045238_shipwreck _ shipwreck_0.8231437.jpg,coral reef,wreck,wreck,coral reef,wreck,coral reef,coral reef,coral reef,wreck,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,sea cucumber,coral reef,shipwreck 
n01498041\0.045298_starfish _ hermit crab_0.75216395.jpg,sea cucumber,sea cucumber,conch,electric ray,electric ray,sea cucumber,sea cucumber,sea cucumber,spiny lobster,hermit crab,hermit crab,hermit crab,conch,sea snake,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,chiton,starfish 
n01498041\0.052774_hermit crab _ hermit crab_0.84354925.jpg,isopod,electric ray,electric ray,electric ray,electric ray,hermit crab,conch,electric ray,electric ray,snail,electric ray,hermit crab,puffer,electric ray,hermit crab,sea cucumber,hermit crab,hermit crab,sea cucumber,sea cucumber,electric ray,sea cucumber,sea cucumber,hermit crab,sea cucumber,sea cucumber,hermit crab,hermit crab 
n01498041\0.059634_volcano _ volcano_0.81817573.jpg,volcano,volcano,water buffalo,volcano,volcano,ice bear,volcano,hippopotamus,volcano,yurt,electric ray,loggerhead,promontory,stingray,volcano,yurt,volcano,volcano,ice bear,volcano,dugong,volcano,warthog,plastic bag,tusker,volcano,warthog,volcano 
n01498041\0.062000_flatworm _ flatworm_0.7352171.jpg,sea snake,electric ray,electric ray,electric ray,stingray,electric ray,electric ray,electric ray,electric ray,sea cucumber,sea cucumber,flatworm,electric ray,electric ray,sea cucumber,sea cucumber,sea cucumber,sea cucumber,chiton,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,fiddler crab,stingray,flatworm 
n01498041\0.063213_submarine _ submarine_0.798916.jpg,killer whale,killer whale,killer whale,killer whale,grey whale,killer whale,killer whale,killer whale,killer whale,albatross,albatross,killer whale,killer whale,great white shark,killer whale,albatross,killer whale,killer whale,albatross,albatross,albatross,killer whale,albatross,albatross,killer whale,killer whale,killer whale,submarine 
n01498041\0.066735_volcano _ volcano_0.95710194.jpg,volcano,volcano,electric ray,electric ray,electric ray,electric ray,electric ray,rock crab,electric ray,electric ray,electric ray,volcano,electric ray,electric ray,chiton,sea cucumber,chiton,chiton,electric ray,electric ray,electric ray,volcano,volcano,electric ray,trilobite,megalith,mortar,volcano 
n01498041\0.067647_volcano _ volcano_0.6579329.jpg,alp,volcano,jellyfish,volcano,electric ray,jellyfish,jellyfish,electric ray,volcano,jellyfish,jellyfish,jellyfish,jellyfish,coral reef,volcano,volcano,volcano,volcano,jellyfish,jellyfish,jellyfish,stingray,jellyfish,barn,volcano,jellyfish,electric ray,volcano 
n01498041\0.074755_oystercatcher _ oystercatcher_0.54080606.jpg,killer whale,killer whale,albatross,killer whale,grey whale,killer whale,killer whale,killer whale,killer whale,killer whale,grey whale,grey whale,great white shark,red-backed sandpiper,killer whale,killer whale,killer whale,killer whale,killer whale,killer whale,albatross,killer whale,killer whale,killer whale,killer whale,killer whale,water ouzel,oystercatcher 
n01498041\0.091222_sea lion _ shipwreck_0.82613313.jpg,scuba diver,scuba diver,great white shark,electric ray,electric ray,great white shark,scuba diver,scuba diver,electric ray,great white shark,scuba diver,scuba diver,great white shark,scuba diver,scuba diver,great white shark,great white shark,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,electric ray,great white shark,great white shark,loggerhead,sea lion 
n01498041\0.097177_sea lion _ sea lion_0.9211501.jpg,grey whale,grey whale,great white shark,sea lion,grey whale,great white shark,great white shark,great white shark,great white shark,grey whale,grey whale,sea lion,grey whale,sea lion,grey whale,great white shark,grey whale,great white shark,grey whale,grey whale,leatherback turtle,great white shark,grey whale,grey whale,great white shark,great white shark,killer whale,sea lion 
n01498041\0.103865_pufferfish _ pufferfish_0.7756802.jpg,electric ray,electric ray,stingray,stingray,stingray,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,sea cucumber,stingray,electric ray,sea cucumber,sea cucumber,sea cucumber,electric ray,electric ray,electric ray,electric ray,sea urchin,chiton,sea cucumber,sea cucumber,sea cucumber,electric ray,pufferfish 
n01498041\0.104708_flatworm _ flatworm_0.9836051.jpg,sea cucumber,electric ray,stingray,stingray,stingray,puffer,electric ray,flatworm,stingray,electric ray,sea cucumber,electric ray,stingray,stingray,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,electric ray,sea cucumber,sea cucumber,sea cucumber,sea cucumber,sea cucumber,electric ray,flatworm 
n01498041\0.116444_flatworm _ flatworm_0.9580172.jpg,tick,tick,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,electric ray,slug,slug,electric ray,flatworm,tick,electric ray,electric ray,electric ray,electric ray,electric ray,tick,electric ray,electric ray,flatworm 
n01498041\0.125123_volcano _ volcano_0.8716065.jpg,volcano,wreck,stingray,scuba diver,stingray,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,volcano,scuba diver,scuba diver,scuba diver,scuba diver,scuba diver,volcano,volcano,scuba diver,stingray,leatherback turtle,scuba diver,volcano 
n01531178\0.000013_wheelbarrow _ wheelbarrow_0.95062554.jpg,barrow,broom,barrow,barrow,barrow,barrow,swab,barrow,broom,shovel,barrow,shovel,barrow,broom,rain barrel,broom,shovel,shovel,barrow,shovel,shovel,padlock,barrow,caldron,swab,barrow,barrow,wheelbarrow 
n01531178\0.000016_garbage truck _ doormat_0.8061608.jpg,Dungeness crab,tile roof,harvester,umbrella,umbrella,American lobster,king crab,hermit crab,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,park bench,birdhouse,bottlecap,tile roof,umbrella,plastic bag,broom,handkerchief,tile roof,tile roof,envelope,umbrella,garbage truck 
