Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n02325366\sketch_43.JPEG,n02325366,n02325366,n02325366,n02325366,n02325366,n02326432,n02174001,n02325366
n04612504\sketch_46.JPEG,n03584829,n07892512,n04004767,n04004767,n03584829,n04004767,n02112018,n04612504
n03642806\sketch_9.JPEG,n03291819,n03532672,n03961711,n03794056,n03376595,n03376595,n04005630,n03642806
n02113712\sketch_31.JPEG,n02110958,n02123394,n03724870,n07248320,n03724870,n04493381,n02112018,n02113712
n03637318\sketch_40.JPEG,n03532672,n04380533,n03814906,n04380533,n03814906,n03803284,n02018207,n03637318
n02895154\sketch_28.JPEG,n02895154,n02895154,n02895154,n03770439,n03146219,n03866082,n02111500,n02895154
n04482393\sketch_29.JPEG,n03291819,n06359193,n03291819,n03532672,n03595614,n02999410,n03047690,n04482393
n04366367\sketch_33.JPEG,n06359193,n06359193,n03733281,n03272010,n04238763,n04238763,n15075141,n04366367
n02950826\sketch_24.JPEG,n02950826,n02950826,n02950826,n02950826,n04141327,n02910353,n02101006,n02950826
n03888605\sketch_37.JPEG,n03532672,n03884397,n02879718,n03476684,n03532672,n03109150,n02403003,n03888605
n04356056\sketch_31.JPEG,n04356056,n04356056,n04356056,n04356056,n04356056,n03692522,n02011460,n04356056
n04597913\sketch_3.JPEG,n02951585,n02951585,n02951585,n03532672,n03532672,n04522168,n02037110,n04597913
n03942813\sketch_49.JPEG,n03291819,n03291819,n03291819,n03291819,n03291819,n03291819,n04005630,n03942813
n07831146\sketch_32.JPEG,n03476684,n03476684,n03814906,n03814906,n03394916,n07930864,n02708093,n07831146
n03496892\sketch_10.JPEG,n03961711,n03961711,n03961711,n03961711,n03961711,n04204347,n07730033,n03496892
n04067472\sketch_35.JPEG,n03065424,n03271574,n02910353,n04039381,n03271574,n03717622,n02363005,n04067472
n01682714\sketch_4.JPEG,n03291819,n03929660,n04116512,n03532672,n04116512,n03485794,n04005630,n01682714
n11939491\sketch_26.JPEG,n01773549,n03476684,n03887697,n03476684,n03633091,n03476684,n03109150,n11939491
n03908618\sketch_7.JPEG,n04127249,n04127249,n04127249,n04127249,n04127249,n04127249,n04589890,n03908618
n02483362\sketch_28.JPEG,n03291819,n03109150,n03692522,n03291819,n03692522,n04317175,n02028035,n02483362
n03794056\sketch_8.JPEG,n03794056,n03794056,n03794056,n03794056,n03794056,n03794056,n03000134,n03794056
n02892201\sketch_39.JPEG,n04141076,n04141076,n03110669,n03532672,n03110669,n03109150,n03100240,n02892201
n01753488\sketch_22.JPEG,n01756291,n01756291,n01748264,n01756291,n01740131,n01930112,n02100735,n01753488
n01734418\sketch_30.JPEG,n03291819,n03065424,n03532672,n03476684,n01930112,n03814906,n03840681,n01734418
n02606052\sketch_41.JPEG,n02910353,n01704323,n03724870,n03476684,n01704323,n03124043,n04070727,n02606052
n01729977\sketch_0.JPEG,n01742172,n01742172,n01742172,n04120489,n01742172,n01742172,n02101006,n01729977
n01820546\sketch_24.JPEG,n01817953,n01806567,n02027492,n01796340,n01622779,n02999410,n02101006,n01820546
n09468604\sketch_39.JPEG,n03876231,n04367480,n04367480,n03291819,n04367480,n07930864,n02101006,n09468604
n02089867\sketch_5.JPEG,n02088238,n02088466,n02088466,n02088238,n02088238,n02100583,n02037110,n02089867
n01843065\sketch_8.JPEG,n01833805,n02514041,n01833805,n01833805,n01833805,n01608432,n03000134,n01843065
n04141076\sketch_41.JPEG,n04141076,n04141076,n04141076,n04141076,n04141076,n04141076,n02101006,n04141076
n02128385\sketch_22.JPEG,n02128757,n02128757,n02128385,n03775071,n02128385,n02100236,n02101006,n02128385
n03388183\sketch_14.JPEG,n03388183,n03388183,n03388183,n03388183,n03388183,n03388183,n02701002,n03388183
n04435653\sketch_28.JPEG,n03961711,n03017168,n03961711,n03532672,n04127249,n04127249,n02011460,n04435653
n02107574\sketch_48.JPEG,n02129604,n02129604,n02110341,n04136333,n02099267,n01704323,n04070727,n02107574
n03134739\sketch_37.JPEG,n03976657,n03532672,n04270147,n03532672,n03532672,n04127249,n01847000,n03134739
n02442845\sketch_13.JPEG,n02441942,n02441942,n02441942,n02444819,n02443484,n02441942,n03000134,n02442845
n03476684\sketch_49.JPEG,n03804744,n03804744,n03804744,n01930112,n03804744,n01930112,n02111500,n03476684
n04065272\sketch_50.JPEG,n02701002,n04467665,n04065272,n04065272,n04065272,n04065272,n03028079,n04065272
n03394916\sketch_47.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,n02910353,n03028079,n03394916
n02687172\sketch_32.JPEG,n02687172,n02687172,n02687172,n02687172,n02687172,n02687172,n04041544,n02687172
n04443257\sketch_34.JPEG,n02871525,n04443257,n03032252,n02871525,n04335435,n02871525,n04041544,n04443257
n03197337\sketch_17.JPEG,n04372370,n04442312,n04372370,n04356056,n04004767,n02708093,n13054560,n03197337
n04204347\sketch_10.JPEG,n04204347,n04204238,n04204238,n04204238,n04204347,n04204238,n03062245,n04204347
n03063689\sketch_13.JPEG,n03187595,n03187595,n03187595,n03950228,n03063689,n04380533,n03786901,n03063689
n02097047\sketch_10.JPEG,n07248320,n02097209,n02097209,n02437312,n02097209,n02808440,n02101006,n02097047
n03642806\sketch_2.JPEG,n03832673,n03832673,n03832673,n03832673,n03832673,n03961711,n04005630,n03642806
n04192698\sketch_43.JPEG,n04141327,n04141327,n04192698,n03658185,n04141327,n04044716,n02111500,n04192698
n03476684\sketch_9.JPEG,n03476684,n03476684,n03476684,n03476684,n03476684,n03476684,n01847000,n03476684
n01968897\sketch_23.JPEG,n03291819,n03476684,n01968897,n03065424,n03065424,n01968897,n09288635,n01968897
n04090263\sketch_0.JPEG,n02749479,n02749479,n02749479,n02749479,n04090263,n04090263,n04515003,n04090263
n03843555\sketch_33.JPEG,n03291819,n03532672,n03532672,n04127249,n03291819,n04127249,n02112018,n03843555
n02423022\sketch_26.JPEG,n02423022,n02423022,n02423022,n03109150,n02423022,n07930864,n03000134,n02423022
n03388549\sketch_26.JPEG,n03384352,n03126707,n03126707,n03126707,n03697007,n03384352,n03109150,n03388549
n02804610\sketch_31.JPEG,n02804610,n02804610,n02804610,n02804610,n02804610,n02804610,n02108000,n02804610
