Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
819\efc4d42df9e0fe140605bb993ff0f3867622a6b2.jpeg,n03733131,n03733131,n04532106,n04532106,n03733131,n03733131,n13040303,n04296562
75\bcf885a960bc54b11ad84c719d3acf9659efc707.jpeg,n01774384,n01774384,n01774384,n01774384,n01774384,n01774384,n04070727,n01774384
846\f9d723cf7f18c7f64edaa8d94f5d9ca38af8f087.jpeg,n03637318,n03637318,n03637318,n03637318,n03637318,n04380533,n03201208,n04380533
846\354f17700e75d46e56a4f1250ee4771bd618fdf9.jpeg,n04336792,n04344873,n04336792,n03179701,n04344873,n03201208,n04074963,n04380533
221\0c4a0303cb78ad472c3cd8e82795bb2fde5f3637.jpeg,n02102973,n02102973,n02102973,n02102973,n02102973,n02102973,n04070727,n02102973
264\54c6e630f366af11fd2f3e64d8959d0b27dcac88.jpeg,n02113186,n02113186,n02105855,n02105855,n02106166,n02113186,n13040303,n02113186
623\579219ec4dd5c56ad82c694f3ba462c010fd9fdd.jpeg,n03658185,n04141327,n04141327,n04141327,n04141327,n02804610,n02108000,n03658185
710\7eb1266ed025cc85fa1453feec6aeac994fa4a7b.jpeg,n03908714,n03908714,n03908714,n03908714,n03908714,n03908714,n04005630,n03908714
146\fcc7cd215957a4570aed53d34af380ed6665a3da.jpeg,n02058221,n02058221,n02058221,n03804744,n02058221,n04404412,n02708093,n02058221
179\9c4fe316ca9e98d20e1267423f84e7de60737ce7.jpeg,n02093256,n02093256,n02093256,n02093256,n02093428,n02099712,n04070727,n02093256
349\a3affee97be21828537b0a7bf92b99638999b06b.jpeg,n06794110,n06794110,n02966687,n02966687,n07248320,n02966687,n04111531,n02415577
158\35cf150c99dd61f9a2fc14a1f47136fc23c14db8.jpeg,n02087046,n02087046,n02087046,n02087046,n02087046,n02087046,n04081281,n02087046
780\f47e4476f03acafe2abb84cddae608d7ea3786ab.jpeg,n04147183,n04147183,n04147183,n04147183,n04147183,n04147183,n04049303,n04147183
391\0654fc53e88a3dbb066b46ac7c08cc153ad3ea43.jpeg,n04209133,n04209133,n07768694,n01955084,n01943899,n01978287,n04070727,n02536864
623\b3957d5e9d82410ffd8d2796d0796d83ba7a2319.jpeg,n04033901,n04589890,n04033901,n04141327,n03388183,n02788148,n02403003,n03658185
614\74f7db51cb0fbcb94ed454ad32c9e2c1fcb8aa57.jpeg,n04239074,n04023962,n03617480,n03902125,n03617480,n03902125,n04081281,n03617480
396\69a02e333cf3ff2862f5705324ea94ca3e3b2692.jpeg,n02643566,n02643566,n02643566,n02643566,n02643566,n02643566,n04070727,n02643566
223\722fe33cec5890accffa0fc871c939aab583d042.jpeg,n02105056,n02105056,n02104365,n02105056,n02105056,n02097298,n07717410,n02104365
187\7a70e19ac92488a842dc3366fa2f0eaa16699f4a.jpeg,n02094433,n02094433,n02094433,n02094433,n02094433,n02107312,n04070727,n02094433
24\1e095d6f435711041859ba902b8e0e5f5ab993c0.jpeg,n01622779,n01622779,n01622779,n01622779,n01622779,n01622779,n04141076,n01622779
370\f4603db396353d99a52840da512a04c1f79b1fef.jpeg,n02484975,n02484975,n02484975,n02484975,n02484975,n02484975,n04070727,n02484975
398\cac7c0f479028814d453cb0beb253f49dd831592.jpeg,n02666196,n02666196,n02666196,n02666196,n02666196,n02666196,n04141076,n02666196
616\1d2ffa0139f48fcb2fc81b64f97e1e03cfba232e.jpeg,n04599235,n03627232,n03627232,n03627232,n03627232,n04277352,n03272010,n03627232
222\558a118f061b3fde7c7412a18a3d6852119a1f7f.jpeg,n02104029,n02104029,n02104029,n02104029,n02104029,n02104029,n04070727,n02104029
850\8a6cff5e13fd5a720fa28282c05e8f256af334fa.jpeg,n03425413,n03425413,n03425413,n02102973,n03425413,n03888605,n13040303,n04399382
943\4c4c7a059bda4dd6d692adc1d2add3bc5c139d37.jpeg,n07716358,n01749939,n01749939,n01749939,n01729977,n04409515,n02091032,n07718472
189\3bf9de4551ca4804ead237cf4e9d093dbae6066a.jpeg,n02096051,n02095570,n02095570,n02096051,n02095570,n02096051,n13052670,n02095570
77\e19065f15ae7f069ec69491f787f75ea9ae43679.jpeg,n02177972,n02219486,n01770081,n02177972,n01773549,n02219486,n07714571,n01775062
843\6e578cb767ecd29262ec3e95763a2c61f38f9d0a.jpeg,n04371774,n03976657,n04371774,n04371774,n04371774,n04371774,n04515003,n04371774
21\8bfc24a215c4080e9528f623e6c194b5cc3a7c33.jpeg,n01608432,n01608432,n01608432,n01608432,n01608432,n01608432,n04041544,n01608432
689\c232104c146d2ef954765927a59f0c470b3ef7af.jpeg,n03450230,n03450230,n03866082,n03450230,n03450230,n03450230,n02102040,n03866082
721\56f05c320c1961a032931d7157e4c2e79fcad680.jpeg,n04033995,n04033995,n04033995,n03388549,n04344873,n04344873,n13040303,n03938244
415\87000349608c52a07bbcde4ba7b4aec1a942293f.jpeg,n07875152,n07747607,n07875152,n07717556,n07875152,n07747607,n03100240,n02776631
311\4dc5aae7f757aa908856348edbaf7ebbb447691d.jpeg,n02226429,n02226429,n02226429,n02226429,n02226429,n01753488,n04040759,n02226429
459\d39f46998daf00b1eb0f89d5f0155e7fd60ece07.jpeg,n02892767,n02892767,n02892767,n02837789,n02892767,n03814639,n02101006,n02892767
262\b8df3d6460a844a116711b4eb6ca679fd178e7f2.jpeg,n02093754,n02112706,n02112706,n02093754,n02112706,n02093754,n04005630,n02112706
125\dfd81e9261f98ede6282507145a0f3162922f657.jpeg,n01986214,n01986214,n01986214,n01986214,n01986214,n01986214,n04070727,n01986214
819\9279e302e06fdf87b9f329b82511470e5263e25b.jpeg,n04296562,n04296562,n04296562,n04296562,n04296562,n04296562,n04070727,n04296562
994\99301dce7bfafe54f0d21ed3f96436938273d62f.jpeg,n13040303,n13040303,n13040303,n13040303,n13040303,n13040303,n04070727,n13040303
