Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,True Label
n01443537\sketch_12.JPEG,549,549,549,549,591,488,n01443537
n01443537\sketch_13.JPEG,36,36,36,126,111,828,n01443537
n01443537\sketch_14.JPEG,117,363,1,117,1,828,n01443537
n01443537\sketch_15.JPEG,584,584,584,749,457,584,n01443537
n01443537\sketch_16.JPEG,584,616,618,749,566,868,n01443537
n01443537\sketch_17.JPEG,549,117,549,549,117,835,n01443537
n01443537\sketch_18.JPEG,117,616,906,584,110,601,n01443537
n01443537\sketch_19.JPEG,549,591,107,111,117,512,n01443537
n01443537\sketch_2.JPEG,33,397,348,643,643,362,n01443537
n01443537\sketch_20.JPEG,549,917,107,584,117,721,n01443537
n01443537\sketch_21.JPEG,549,584,714,117,584,584,n01443537
n01443537\sketch_22.JPEG,549,549,549,549,549,591,n01443537
n01443537\sketch_23.JPEG,124,36,1,87,1,451,n01443537
n01443537\sketch_24.JPEG,584,584,584,828,457,828,n01443537
n01443537\sketch_25.JPEG,117,111,111,111,917,968,n01443537
n01443537\sketch_26.JPEG,69,117,916,34,549,549,n01443537
n01443537\sketch_27.JPEG,917,917,917,917,917,591,n01443537
n01443537\sketch_28.JPEG,549,117,917,584,917,714,n01443537
n01443537\sketch_29.JPEG,5,584,623,5,596,623,n01443537
n01443537\sketch_3.JPEG,618,512,616,749,572,512,n01443537
n01443537\sketch_30.JPEG,117,117,549,749,549,584,n01443537
n01443537\sketch_31.JPEG,549,868,549,921,921,711,n01443537
n01443537\sketch_32.JPEG,591,591,591,591,591,591,n01443537
n01443537\sketch_33.JPEG,112,110,112,112,110,679,n01443537
n01443537\sketch_34.JPEG,107,111,111,111,591,968,n01443537
n01443537\sketch_35.JPEG,308,389,1,749,309,749,n01443537
n01443537\sketch_36.JPEG,749,389,1,117,117,117,n01443537
n01443537\sketch_37.JPEG,584,591,111,111,549,828,n01443537
n01443537\sketch_38.JPEG,111,111,545,111,117,828,n01443537
n01443537\sketch_39.JPEG,396,24,772,307,22,749,n01443537
n01443537\sketch_4.JPEG,549,584,584,584,584,828,n01443537
n01443537\sketch_40.JPEG,36,36,855,34,117,36,n01443537
n01443537\sketch_41.JPEG,721,917,917,917,917,714,n01443537
n01443537\sketch_42.JPEG,117,117,117,340,917,828,n01443537
n01443537\sketch_43.JPEG,584,584,584,723,623,584,n01443537
n01443537\sketch_44.JPEG,117,616,117,616,947,749,n01443537
n01443537\sketch_45.JPEG,584,584,34,5,34,584,n01443537
n01443537\sketch_46.JPEG,1,389,616,21,396,749,n01443537
n01443537\sketch_47.JPEG,714,966,584,545,549,549,n01443537
n01443537\sketch_48.JPEG,549,584,51,584,623,584,n01443537
n01443537\sketch_49.JPEG,107,600,616,111,591,968,n01443537
n01443537\sketch_5.JPEG,340,117,584,111,34,566,n01443537
n01443537\sketch_6.JPEG,584,584,600,111,623,679,n01443537
n01443537\sketch_7.JPEG,363,39,389,363,314,549,n01443537
n01443537\sketch_8.JPEG,600,506,111,111,556,481,n01443537
n01443537\sketch_9.JPEG,584,584,714,117,584,673,n01443537
n01484850\sketch_0.JPEG,855,855,111,126,111,711,n01484850
n01484850\sketch_1.JPEG,549,650,767,673,549,772,n01484850
n01484850\sketch_10.JPEG,618,828,2,459,567,512,n01484850
n01484850\sketch_11.JPEG,688,111,688,70,688,70,n01484850
n01484850\sketch_12.JPEG,549,966,600,70,549,512,n01484850
n01484850\sketch_13.JPEG,749,512,111,749,4,512,n01484850
n01484850\sketch_14.JPEG,968,512,51,107,512,535,n01484850
n01484850\sketch_15.JPEG,584,512,749,749,749,512,n01484850
n01484850\sketch_16.JPEG,644,644,644,644,644,644,n01484850
n01484850\sketch_17.JPEG,3,2,3,3,2,512,n01484850
n01484850\sketch_18.JPEG,618,512,512,618,618,512,n01484850
n01484850\sketch_19.JPEG,70,673,684,70,673,70,n01484850
n01484850\sketch_2.JPEG,2,2,2,2,2,473,n01484850
n01484850\sketch_20.JPEG,129,2,3,836,132,559,n01484850
n01484850\sketch_21.JPEG,514,3,69,514,514,514,n01484850
n01484850\sketch_22.JPEG,2,314,4,749,2,770,n01484850
n01484850\sketch_23.JPEG,828,618,828,818,512,828,n01484850
n01484850\sketch_24.JPEG,721,110,610,126,787,828,n01484850
n01484850\sketch_25.JPEG,51,389,4,51,3,895,n01484850
n01484850\sketch_26.JPEG,772,111,535,729,549,714,n01484850
n01484850\sketch_27.JPEG,584,677,584,584,71,516,n01484850
n01484850\sketch_28.JPEG,2,2,2,2,2,144,n01484850
n01484850\sketch_29.JPEG,2,2,3,2,4,512,n01484850
n01484850\sketch_3.JPEG,3,112,112,6,562,728,n01484850
n01484850\sketch_30.JPEG,549,684,111,111,549,549,n01484850
n01484850\sketch_31.JPEG,2,2,3,2,4,512,n01484850
n01484850\sketch_32.JPEG,389,391,34,514,921,103,n01484850
n01484850\sketch_33.JPEG,2,2,2,2,3,395,n01484850
n01484850\sketch_34.JPEG,549,600,610,70,610,772,n01484850
n01484850\sketch_35.JPEG,549,2,111,456,310,516,n01484850
n01484850\sketch_36.JPEG,916,512,512,5,310,512,n01484850
n01484850\sketch_37.JPEG,389,112,944,944,954,616,n01484850
n01484850\sketch_38.JPEG,549,966,111,310,610,512,n01484850
n01484850\sketch_39.JPEG,2,2,3,3,4,512,n01484850
n01484850\sketch_4.JPEG,2,2,3,34,33,318,n01484850
n01484850\sketch_40.JPEG,3,711,728,711,971,711,n01484850
n01484850\sketch_41.JPEG,549,549,549,70,315,516,n01484850
n01484850\sketch_42.JPEG,405,3,3,549,3,549,n01484850
n01484850\sketch_43.JPEG,679,549,549,70,837,828,n01484850
n01484850\sketch_44.JPEG,3,3,3,3,3,3,n01484850
n01484850\sketch_45.JPEG,363,3,643,749,312,113,n01484850
n01484850\sketch_46.JPEG,855,855,111,111,111,711,n01484850
n01484850\sketch_47.JPEG,549,902,767,549,549,549,n01484850
n01484850\sketch_48.JPEG,2,2,2,2,2,674,n01484850
n01484850\sketch_49.JPEG,434,725,112,433,112,728,n01484850
n01484850\sketch_5.JPEG,2,2,2,2,394,2,n01484850
n01484850\sketch_50.JPEG,33,2,3,34,33,318,n01484850
n01484850\sketch_6.JPEG,2,2,2,2,2,728,n01484850
n01484850\sketch_7.JPEG,512,512,772,755,758,512,n01484850
n01484850\sketch_8.JPEG,3,3,3,3,3,4,n01484850
n01484850\sketch_9.JPEG,714,499,4,313,591,313,n01484850
n01491361\sketch_0.JPEG,549,549,549,549,549,549,n01491361
n01491361\sketch_1.JPEG,3,3,3,51,3,876,n01491361
n01491361\sketch_10.JPEG,391,391,916,777,916,512,n01491361
n01491361\sketch_11.JPEG,70,673,691,70,673,673,n01491361
n01491361\sketch_12.JPEG,772,600,111,111,823,828,n01491361
n01491361\sketch_13.JPEG,405,3,3,389,4,828,n01491361
n01491361\sketch_14.JPEG,767,549,724,111,107,549,n01491361
n01491361\sketch_15.JPEG,411,556,600,70,111,714,n01491361
n01491361\sketch_16.JPEG,549,111,107,79,921,70,n01491361
n01491361\sketch_17.JPEG,2,2,3,2,4,512,n01491361
n01491361\sketch_18.JPEG,828,966,313,70,313,828,n01491361
n01491361\sketch_19.JPEG,3,4,4,3,4,895,n01491361
n01491361\sketch_2.JPEG,968,828,306,725,34,968,n01491361
n01491361\sketch_20.JPEG,111,684,684,5,916,549,n01491361
n01491361\sketch_21.JPEG,3,3,3,3,3,318,n01491361
n01491361\sketch_22.JPEG,111,111,111,107,111,968,n01491361
n01491361\sketch_23.JPEG,549,549,549,70,549,70,n01491361
n01491361\sketch_24.JPEG,3,3,3,5,3,389,n01491361
n01491361\sketch_25.JPEG,954,112,3,112,3,272,n01491361
n01491361\sketch_26.JPEG,3,3,3,389,4,764,n01491361
n01491361\sketch_27.JPEG,618,828,111,566,643,444,n01491361
n01491361\sketch_28.JPEG,391,3,3,3,3,389,n01491361
n01491361\sketch_29.JPEG,549,611,111,111,512,549,n01491361
n01491361\sketch_3.JPEG,251,584,303,111,512,512,n01491361
n01491361\sketch_30.JPEG,3,3,3,667,3,249,n01491361
n01491361\sketch_31.JPEG,363,3,643,749,312,113,n01491361
n01491361\sketch_32.JPEG,79,512,3,600,714,679,n01491361
n01491361\sketch_33.JPEG,563,916,650,70,310,563,n01491361
n01491361\sketch_34.JPEG,3,3,3,3,3,516,n01491361
n01491361\sketch_35.JPEG,3,3,3,3,3,395,n01491361
n01491361\sketch_36.JPEG,549,111,111,111,111,70,n01491361
n01491361\sketch_37.JPEG,721,749,749,749,749,512,n01491361
n01491361\sketch_38.JPEG,549,772,111,111,549,772,n01491361
n01491361\sketch_39.JPEG,549,584,772,749,549,512,n01491361
n01491361\sketch_4.JPEG,3,2,3,3,4,4,n01491361
n01491361\sketch_40.JPEG,3,3,2,3,3,828,n01491361
n01491361\sketch_41.JPEG,549,319,584,600,512,512,n01491361
n01491361\sketch_42.JPEG,3,3,3,3,3,3,n01491361
n01491361\sketch_43.JPEG,3,512,512,512,512,512,n01491361
n01491361\sketch_44.JPEG,4,3,3,4,3,828,n01491361
n01491361\sketch_45.JPEG,3,514,562,3,863,431,n01491361
n01491361\sketch_46.JPEG,549,549,549,815,921,549,n01491361
n01491361\sketch_47.JPEG,3,3,3,3,3,111,n01491361
n01491361\sketch_48.JPEG,968,968,34,968,34,770,n01491361
n01491361\sketch_49.JPEG,251,600,303,111,512,512,n01491361
n01491361\sketch_5.JPEG,549,623,584,600,512,584,n01491361
n01491361\sketch_50.JPEG,3,2,3,3,4,4,n01491361
n01491361\sketch_6.JPEG,721,721,721,721,721,700,n01491361
n01491361\sketch_7.JPEG,111,111,111,111,111,488,n01491361
n01491361\sketch_8.JPEG,618,749,4,315,749,456,n01491361
n01491361\sketch_9.JPEG,3,3,3,2,2,728,n01491361
n01494475\sketch_0.JPEG,549,600,600,600,549,549,n01494475
n01494475\sketch_1.JPEG,4,4,4,51,4,512,n01494475
n01494475\sketch_10.JPEG,4,51,4,51,4,43,n01494475
n01494475\sketch_11.JPEG,549,549,111,111,111,673,n01494475
n01494475\sketch_12.JPEG,549,549,4,512,512,512,n01494475
n01494475\sketch_13.JPEG,701,512,917,512,4,535,n01494475
n01494475\sketch_14.JPEG,4,4,4,4,4,516,n01494475
n01494475\sketch_15.JPEG,111,111,600,70,870,70,n01494475
n01494475\sketch_16.JPEG,549,549,600,107,673,673,n01494475
n01494475\sketch_17.JPEG,4,4,4,4,4,526,n01494475
n01494475\sketch_18.JPEG,389,389,4,4,51,749,n01494475
n01494475\sketch_19.JPEG,4,4,4,4,4,680,n01494475
n01494475\sketch_2.JPEG,549,611,549,107,549,488,n01494475
n01494475\sketch_20.JPEG,4,4,4,4,4,680,n01494475
n01494475\sketch_21.JPEG,4,4,4,4,4,4,n01494475
n01494475\sketch_22.JPEG,389,389,4,389,4,559,n01494475
n01494475\sketch_23.JPEG,312,4,4,312,71,71,n01494475
n01494475\sketch_24.JPEG,618,836,4,5,512,828,n01494475
n01494475\sketch_25.JPEG,4,4,4,4,4,134,n01494475
n01494475\sketch_26.JPEG,611,767,767,78,591,488,n01494475
n01494475\sketch_27.JPEG,549,623,600,111,512,584,n01494475
n01494475\sketch_28.JPEG,111,111,111,111,111,600,n01494475
n01494475\sketch_29.JPEG,611,611,71,512,917,770,n01494475
n01494475\sketch_3.JPEG,549,611,111,111,111,673,n01494475
n01494475\sketch_30.JPEG,464,855,464,855,549,855,n01494475
n01494475\sketch_31.JPEG,549,916,111,111,549,673,n01494475
n01494475\sketch_32.JPEG,4,4,4,4,4,146,n01494475
n01494475\sketch_33.JPEG,4,4,4,4,4,584,n01494475
n01494475\sketch_34.JPEG,600,600,600,78,512,481,n01494475
n01494475\sketch_35.JPEG,591,774,591,600,764,535,n01494475
n01494475\sketch_36.JPEG,549,512,489,456,71,591,n01494475
n01494475\sketch_37.JPEG,605,600,111,600,512,70,n01494475
n01494475\sketch_38.JPEG,549,611,591,611,512,549,n01494475
n01494475\sketch_39.JPEG,549,966,610,313,310,772,n01494475
n01494475\sketch_4.JPEG,921,512,71,512,71,512,n01494475
n01494475\sketch_40.JPEG,549,916,111,111,549,673,n01494475
n01494475\sketch_41.JPEG,327,600,327,770,327,4,n01494475
n01494475\sketch_42.JPEG,313,92,111,481,313,600,n01494475
n01494475\sketch_43.JPEG,395,4,4,3,895,512,n01494475
n01494475\sketch_44.JPEG,4,596,111,111,596,774,n01494475
n01494475\sketch_45.JPEG,549,549,591,611,767,549,n01494475
n01494475\sketch_46.JPEG,549,600,600,600,549,70,n01494475
n01494475\sketch_47.JPEG,4,4,4,51,4,512,n01494475
n01494475\sketch_48.JPEG,549,611,549,111,549,772,n01494475
n01494475\sketch_49.JPEG,549,611,111,111,111,828,n01494475
n01494475\sketch_5.JPEG,549,549,767,611,591,679,n01494475
n01494475\sketch_50.JPEG,71,623,71,512,71,512,n01494475
n01494475\sketch_6.JPEG,4,4,4,4,4,4,n01494475
n01494475\sketch_7.JPEG,549,966,111,111,714,828,n01494475
n01494475\sketch_8.JPEG,51,51,51,51,51,772,n01494475
n01494475\sketch_9.JPEG,549,549,549,549,549,549,n01494475
n01496331\sketch_0.JPEG,112,5,577,452,112,755,n01496331
n01496331\sketch_1.JPEG,5,5,5,5,5,5,n01496331
n01496331\sketch_10.JPEG,515,452,5,545,714,319,n01496331
n01496331\sketch_11.JPEG,5,5,5,5,5,835,n01496331
n01496331\sketch_12.JPEG,5,5,5,111,43,828,n01496331
n01496331\sketch_13.JPEG,5,5,5,584,828,828,n01496331
n01496331\sketch_14.JPEG,584,36,451,110,916,584,n01496331
n01496331\sketch_15.JPEG,107,5,490,111,714,549,n01496331
n01496331\sketch_16.JPEG,792,606,792,792,792,828,n01496331
n01496331\sketch_17.JPEG,6,6,6,6,6,574,n01496331
n01496331\sketch_18.JPEG,5,113,643,818,796,818,n01496331
n01496331\sketch_19.JPEG,5,5,5,5,5,584,n01496331
n01496331\sketch_2.JPEG,103,391,103,777,389,391,n01496331
n01496331\sketch_20.JPEG,112,5,5,5,6,146,n01496331
n01496331\sketch_21.JPEG,584,5,5,5,5,584,n01496331
n01496331\sketch_22.JPEG,5,5,5,5,5,828,n01496331
n01496331\sketch_23.JPEG,828,714,5,752,584,676,n01496331
n01496331\sketch_24.JPEG,650,836,451,828,650,650,n01496331
n01496331\sketch_25.JPEG,623,600,618,600,618,618,n01496331
n01496331\sketch_26.JPEG,5,5,5,5,5,823,n01496331
n01496331\sketch_27.JPEG,112,5,577,111,112,755,n01496331
n01496331\sketch_28.JPEG,5,5,5,3,5,5,n01496331
n01496331\sketch_29.JPEG,391,391,103,749,389,473,n01496331
n01496331\sketch_3.JPEG,5,5,5,570,5,673,n01496331
n01496331\sketch_30.JPEG,5,5,5,443,5,679,n01496331
n01496331\sketch_31.JPEG,78,69,78,117,78,828,n01496331
n01496331\sketch_32.JPEG,549,549,828,549,549,549,n01496331
n01496331\sketch_33.JPEG,5,5,111,111,6,828,n01496331
n01496331\sketch_34.JPEG,549,111,488,111,549,673,n01496331
n01496331\sketch_35.JPEG,584,78,111,584,78,826,n01496331
n01496331\sketch_36.JPEG,954,5,5,954,600,674,n01496331
n01496331\sketch_37.JPEG,515,5,5,545,714,319,n01496331
n01496331\sketch_38.JPEG,5,5,5,5,5,835,n01496331
n01496331\sketch_39.JPEG,5,5,5,111,43,828,n01496331
n01496331\sketch_4.JPEG,584,5,78,117,78,828,n01496331
n01496331\sketch_40.JPEG,5,5,5,584,828,584,n01496331
n01496331\sketch_41.JPEG,584,916,459,110,916,584,n01496331
n01496331\sketch_42.JPEG,549,5,490,111,828,549,n01496331
n01496331\sketch_43.JPEG,792,792,792,792,792,828,n01496331
n01496331\sketch_44.JPEG,5,6,6,6,6,618,n01496331
n01496331\sketch_45.JPEG,515,643,643,584,828,464,n01496331
n01496331\sketch_46.JPEG,5,5,5,5,5,488,n01496331
n01496331\sketch_47.JPEG,112,5,6,5,5,146,n01496331
n01496331\sketch_48.JPEG,584,5,5,5,5,584,n01496331
n01496331\sketch_49.JPEG,5,5,5,5,828,828,n01496331
n01496331\sketch_5.JPEG,549,549,828,549,549,549,n01496331
n01496331\sketch_50.JPEG,828,714,5,420,714,676,n01496331
n01496331\sketch_6.JPEG,5,111,111,111,6,828,n01496331
n01496331\sketch_7.JPEG,549,111,600,111,549,673,n01496331
n01496331\sketch_8.JPEG,600,78,111,584,78,584,n01496331
n01496331\sketch_9.JPEG,5,5,5,774,636,674,n01496331
n01498041\sketch_0.JPEG,709,452,5,5,5,411,n01498041
n01498041\sketch_1.JPEG,774,774,774,774,111,584,n01498041
n01498041\sketch_10.JPEG,828,5,5,5,5,618,n01498041
n01498041\sketch_11.JPEG,5,5,5,5,5,823,n01498041
n01498041\sketch_12.JPEG,5,111,111,111,6,828,n01498041
n01498041\sketch_13.JPEG,5,6,6,749,728,828,n01498041
n01498041\sketch_14.JPEG,5,5,879,5,5,549,n01498041
n01498041\sketch_15.JPEG,673,611,111,111,107,600,n01498041
n01498041\sketch_16.JPEG,600,600,618,111,618,828,n01498041
n01498041\sketch_17.JPEG,650,600,600,70,459,600,n01498041
n01498041\sketch_18.JPEG,650,600,650,600,823,600,n01498041
n01498041\sketch_19.JPEG,650,600,823,600,823,823,n01498041
n01498041\sketch_2.JPEG,584,36,451,110,916,584,n01498041
n01498041\sketch_20.JPEG,584,600,600,111,600,488,n01498041
n01498041\sketch_21.JPEG,679,111,111,70,600,70,n01498041
n01498041\sketch_22.JPEG,446,446,851,600,916,409,n01498041
n01498041\sketch_23.JPEG,714,512,600,111,451,409,n01498041
n01498041\sketch_24.JPEG,549,111,917,111,549,772,n01498041
n01498041\sketch_25.JPEG,606,606,78,78,111,679,n01498041
n01498041\sketch_26.JPEG,70,70,765,70,549,70,n01498041
n01498041\sketch_27.JPEG,650,650,600,600,481,823,n01498041
n01498041\sketch_28.JPEG,6,5,5,5,6,456,n01498041
n01498041\sketch_29.JPEG,5,6,5,178,5,246,n01498041
n01498041\sketch_3.JPEG,584,584,600,600,584,714,n01498041
n01498041\sketch_30.JPEG,679,600,691,600,823,679,n01498041
n01498041\sketch_31.JPEG,69,111,451,787,490,818,n01498041
n01498041\sketch_32.JPEG,549,584,111,600,772,512,n01498041
n01498041\sketch_33.JPEG,828,725,828,828,828,823,n01498041
n01498041\sketch_34.JPEG,60,419,419,419,110,600,n01498041
n01498041\sketch_35.JPEG,836,546,596,836,691,836,n01498041
n01498041\sketch_36.JPEG,549,549,772,111,815,512,n01498041
n01498041\sketch_37.JPEG,549,549,549,549,549,549,n01498041
n01498041\sketch_38.JPEG,597,777,111,459,459,679,n01498041
n01498041\sketch_39.JPEG,837,916,456,836,650,600,n01498041
n01498041\sketch_4.JPEG,605,111,111,673,481,828,n01498041
n01498041\sketch_40.JPEG,714,549,111,111,610,772,n01498041
n01498041\sketch_41.JPEG,748,515,5,5,748,411,n01498041
n01498041\sketch_42.JPEG,774,774,459,774,459,584,n01498041
n01498041\sketch_43.JPEG,584,916,459,110,916,584,n01498041
n01498041\sketch_44.JPEG,549,584,600,600,584,684,n01498041
n01498041\sketch_45.JPEG,549,111,111,111,481,600,n01498041
n01498041\sketch_46.JPEG,549,591,111,111,696,610,n01498041
n01498041\sketch_47.JPEG,549,823,5,828,589,725,n01498041
n01498041\sketch_48.JPEG,79,966,111,111,549,828,n01498041
n01498041\sketch_49.JPEG,679,600,600,679,327,679,n01498041
n01498041\sketch_5.JPEG,591,591,111,111,399,610,n01498041
n01498041\sketch_50.JPEG,5,792,792,749,792,813,n01498041
n01498041\sketch_6.JPEG,618,774,5,676,549,725,n01498041
n01498041\sketch_7.JPEG,605,966,111,111,549,772,n01498041
n01498041\sketch_8.JPEG,679,600,600,111,327,679,n01498041
n01498041\sketch_9.JPEG,5,792,792,749,792,813,n01498041
n01514668\sketch_0.JPEG,549,916,111,549,549,644,n01514668
n01514668\sketch_1.JPEG,549,549,549,549,549,591,n01514668
n01514668\sketch_10.JPEG,549,916,549,549,549,721,n01514668
n01514668\sketch_11.JPEG,549,916,549,549,563,512,n01514668
n01514668\sketch_12.JPEG,7,7,7,83,7,7,n01514668
n01514668\sketch_13.JPEG,549,117,111,749,117,549,n01514668
n01514668\sketch_14.JPEG,24,7,7,82,82,24,n01514668
n01514668\sketch_15.JPEG,549,916,591,549,549,549,n01514668
n01514668\sketch_16.JPEG,549,549,107,107,117,549,n01514668
n01514668\sketch_17.JPEG,549,916,340,549,549,549,n01514668
n01514668\sketch_18.JPEG,549,916,292,549,916,549,n01514668
n01514668\sketch_19.JPEG,135,135,83,93,135,135,n01514668
n01514668\sketch_2.JPEG,549,646,549,549,506,721,n01514668
n01514668\sketch_20.JPEG,117,916,117,117,916,584,n01514668
n01514668\sketch_21.JPEG,7,616,572,572,572,488,n01514668
n01514668\sketch_22.JPEG,549,916,700,549,883,907,n01514668
n01514668\sketch_23.JPEG,549,916,111,549,117,549,n01514668
n01514668\sketch_24.JPEG,549,117,111,749,117,549,n01514668
n01514668\sketch_25.JPEG,591,7,749,868,921,968,n01514668
n01514668\sketch_26.JPEG,117,117,117,51,715,584,n01514668
n01514668\sketch_27.JPEG,117,7,292,80,7,855,n01514668
n01514668\sketch_28.JPEG,549,549,549,549,117,549,n01514668
n01514668\sketch_29.JPEG,549,549,110,549,549,549,n01514668
n01514668\sketch_3.JPEG,117,7,7,846,117,840,n01514668
n01514668\sketch_30.JPEG,549,549,549,549,917,584,n01514668
n01514668\sketch_31.JPEG,549,549,549,549,921,818,n01514668
n01514668\sketch_32.JPEG,7,7,7,7,7,144,n01514668
n01514668\sketch_33.JPEG,549,117,618,883,616,572,n01514668
n01514668\sketch_34.JPEG,549,916,549,549,117,549,n01514668
n01514668\sketch_35.JPEG,916,916,916,549,549,549,n01514668
n01514668\sketch_36.JPEG,446,464,549,787,397,549,n01514668
n01514668\sketch_37.JPEG,549,549,549,549,549,679,n01514668
n01514668\sketch_38.JPEG,7,7,7,7,7,7,n01514668
n01514668\sketch_39.JPEG,549,7,83,549,7,868,n01514668
n01514668\sketch_4.JPEG,549,916,549,549,117,549,n01514668
n01514668\sketch_40.JPEG,549,111,549,111,549,549,n01514668
n01514668\sketch_41.JPEG,917,917,917,917,591,917,n01514668
n01514668\sketch_42.JPEG,549,916,916,549,549,591,n01514668
n01514668\sketch_43.JPEG,340,340,340,340,7,24,n01514668
n01514668\sketch_44.JPEG,488,7,8,83,7,80,n01514668
n01514668\sketch_45.JPEG,840,840,8,749,921,921,n01514668
n01514668\sketch_46.JPEG,111,600,600,600,600,600,n01514668
n01514668\sketch_47.JPEG,549,600,600,117,7,729,n01514668
n01514668\sketch_48.JPEG,616,616,108,117,616,396,n01514668
n01514668\sketch_49.JPEG,549,916,549,549,549,644,n01514668
n01514668\sketch_5.JPEG,549,916,549,111,549,549,n01514668
n01514668\sketch_50.JPEG,549,549,549,549,549,721,n01514668
n01514668\sketch_6.JPEG,549,611,591,111,549,917,n01514668
n01514668\sketch_7.JPEG,549,111,111,549,107,488,n01514668
n01514668\sketch_8.JPEG,549,591,549,549,549,584,n01514668
n01514668\sketch_9.JPEG,549,916,916,549,916,584,n01514668
n01514859\sketch_0.JPEG,611,611,111,111,679,679,n01514859
n01514859\sketch_1.JPEG,8,8,8,83,8,505,n01514859
n01514859\sketch_10.JPEG,8,8,8,8,8,24,n01514859
n01514859\sketch_11.JPEG,117,82,8,679,8,488,n01514859
n01514859\sketch_12.JPEG,971,818,111,818,111,818,n01514859
n01514859\sketch_13.JPEG,549,549,111,600,714,679,n01514859
n01514859\sketch_14.JPEG,549,549,549,111,512,679,n01514859
n01514859\sketch_15.JPEG,549,916,549,549,916,549,n01514859
n01514859\sketch_16.JPEG,549,110,85,549,81,968,n01514859
n01514859\sketch_17.JPEG,566,83,82,725,572,451,n01514859
n01514859\sketch_18.JPEG,549,916,85,549,71,488,n01514859
n01514859\sketch_19.JPEG,8,8,8,85,8,83,n01514859
n01514859\sketch_2.JPEG,549,51,8,643,8,679,n01514859
